ID	nr_annotation
NATL1A_1530	WP_011824183.1 class I SAM-dependent methyltransferase [Prochlorococcus marinus]
NATL1A_1531	WP_011824184.1 extracellular solute-binding protein [Prochlorococcus marinus]
NATL1A_1532	WP_011824185.1 Fe2+-dependent dioxygenase [Prochlorococcus marinus]
NATL1A_1533	WP_011824186.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1534	WP_011824187.1 iron uptake porin [Prochlorococcus marinus]
NATL1A_1535	WP_011824188.1 glycine--tRNA ligase subunit alpha [Prochlorococcus marinus]
NATL1A_1536	WP_011824189.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1537	WP_011824190.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1538	WP_011824191.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1539	WP_071813354.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1540	WP_011824193.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1541	WP_011294978.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1542	WP_011824194.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1543	WP_011824195.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1544	WP_011824196.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1545	WP_011824197.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1546	ABM76189.1 Hypothetical protein NATL1_16321 [Prochlorococcus marinus str. NATL1A]
NATL1A_1547	MBW3049840.1 hypothetical protein [Prochlorococcus marinus str. MU1403]
NATL1A_1548	WP_011824200.1 nuclear transport factor 2 family protein [Prochlorococcus marinus]
NATL1A_1549	WP_011824201.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1550	WP_049752908.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1551	ABM76194.1 Hypothetical protein NATL1_16371 [Prochlorococcus marinus str. NATL1A]
NATL1A_1552	WP_011824204.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1553	WP_011294875.1 MULTISPECIES: peroxiredoxin [Prochlorococcus]
NATL1A_1554	WP_011824205.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_1555	WP_011824206.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1556	WP_011824207.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1557	WP_011824208.1 SemiSWEET transporter [Prochlorococcus marinus]
NATL1A_1558	WP_011294990.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_1559	WP_011824209.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1560	"WP_011824210.1 cytochrome b559 subunit beta, long form [Prochlorococcus marinus]"
NATL1A_1561	WP_011824211.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_1562	ABM76206.1 Hypothetical protein NATL1_16491 [Prochlorococcus marinus str. NATL1A]
NATL1A_1563	"ABM76207.1 possible Helix-turn-helix protein, copG family [Prochlorococcus marinus str. NATL1A]"
NATL1A_1564	WP_011824215.1 glycosyltransferase family 39 protein [Prochlorococcus marinus]
NATL1A_1565	WP_011824216.1 glycosyltransferase family 4 protein [Prochlorococcus marinus]
NATL1A_1566	WP_011824217.1 DMT family transporter [Prochlorococcus marinus]
NATL1A_1567	AIQ97801.1 protease IV [Prochlorococcus sp. MIT 0801]
NATL1A_1568	WP_011294888.1 chorismate mutase [Prochlorococcus marinus]
NATL1A_1569	WP_011824219.1 DUF2808 domain-containing protein [Prochlorococcus marinus]
NATL1A_1570	WP_011824220.1 ribonuclease P protein component [Prochlorococcus marinus]
NATL1A_1571	WP_011824221.1 PH domain-containing protein [Prochlorococcus marinus]
NATL1A_1572	WP_011824222.1 membrane protein insertase YidC [Prochlorococcus marinus]
NATL1A_1573	WP_011824223.1 AAA family ATPase [Prochlorococcus marinus]
NATL1A_1574	WP_011824224.1 serine--tRNA ligase [Prochlorococcus marinus]
NATL1A_1575	WP_011824225.1 RIP metalloprotease RseP [Prochlorococcus marinus]
NATL1A_1576	WP_011824226.1 30S ribosomal protein S14 [Prochlorococcus marinus]
NATL1A_1577	WP_011824227.1 polyribonucleotide nucleotidyltransferase [Prochlorococcus marinus]
NATL1A_1578	"WP_011824228.1 3'(2'),5'-bisphosphate nucleotidase CysQ [Prochlorococcus marinus]"
NATL1A_1579	WP_041700617.1 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [Prochlorococcus marinus]
NATL1A_1580	WP_011824230.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1581	WP_049752909.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1582	WP_011824232.1 DUF2214 family protein [Prochlorococcus marinus]
NATL1A_1583	WP_011824233.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1584	none
NATL1A_1585	WP_041700619.1 class I SAM-dependent methyltransferase [Prochlorococcus marinus]
NATL1A_1586	WP_011824235.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_1587	WP_011824236.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1588	WP_011824240.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1589	WP_011824241.1 transcriptional repressor LexA [Prochlorococcus marinus]
NATL1A_1590	WP_011824242.1 ornithine carbamoyltransferase [Prochlorococcus marinus]
NATL1A_1591	ABM76239.1 cell division protein FtsH3 [Prochlorococcus marinus str. NATL1A]
NATL1A_1592	WP_110861471.1 bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD [Prochlorococcus marinus]
NATL1A_1593	WP_225866971.1 DUF3122 domain-containing protein [Prochlorococcus marinus]
NATL1A_1594	WP_011824247.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1595	WP_011824248.1 bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase [Prochlorococcus marinus]
NATL1A_1596	WP_011824249.1 NAD(+) kinase [Prochlorococcus marinus]
NATL1A_1597	WP_011824250.1 phenylalanine--tRNA ligase subunit alpha [Prochlorococcus marinus]
NATL1A_1598	WP_011824251.1 5'/3'-nucleotidase SurE [Prochlorococcus marinus]
NATL1A_1599	WP_011294926.1 DUF3611 family protein [Prochlorococcus marinus]
NATL1A_1600	WP_011824252.1 bifunctional riboflavin kinase/FAD synthetase [Prochlorococcus marinus]
NATL1A_1601	WP_011824254.1 thiamine phosphate synthase [Prochlorococcus marinus]
NATL1A_1602	WP_011824255.1 sulfur carrier protein ThiS [Prochlorococcus marinus]
NATL1A_1603	WP_011824256.1 DUF1517 domain-containing protein [Prochlorococcus marinus]
NATL1A_1604	WP_011294931.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1605	WP_011824257.1 nickel pincer cofactor biosynthesis protein LarB [Prochlorococcus marinus]
NATL1A_1606	WP_011824258.1 TIGR03792 family protein [Prochlorococcus marinus]
NATL1A_1607	WP_011824259.1 tRNA (guanosine(37)-N1)-methyltransferase TrmD [Prochlorococcus marinus]
NATL1A_1608	WP_011824260.1 GTPase Era [Prochlorococcus marinus]
NATL1A_1609	WP_011824261.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1610	WP_011294938.1 MULTISPECIES: Bax inhibitor-1 family protein [Prochlorococcus]
NATL1A_1611	WP_011824262.1 PhoH family protein [Prochlorococcus marinus]
NATL1A_1612	WP_011824263.1 30S ribosomal protein S16 [Prochlorococcus marinus]
NATL1A_1613	WP_011824264.1 signal recognition particle protein [Prochlorococcus marinus]
NATL1A_1614	WP_011824265.1 IMS domain-containing protein [Prochlorococcus marinus]
NATL1A_1615	ABM76264.1 Pyruvate dehydrogenase E1 alpha subunit [Prochlorococcus marinus str. NATL1A]
NATL1A_1616	WP_011294944.1 RpoD/SigA family RNA polymerase sigma factor [Prochlorococcus marinus]
NATL1A_1617	ABM76266.1 Predicted sugar kinase fused to uncharacterized domain [Prochlorococcus marinus str. NATL1A]
NATL1A_1618	WP_011824268.1 tRNA 2-thiouridine(34) synthase MnmA [Prochlorococcus marinus]
NATL1A_1619	WP_011824269.1 apolipoprotein N-acyltransferase [Prochlorococcus marinus]
NATL1A_1620	ABM76269.1 FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase) [Prochlorococcus marinus str. NATL1A]
NATL1A_1621	"WP_041700624.1 superoxide dismutase, Ni [Prochlorococcus marinus]"
NATL1A_1622	WP_011824272.1 nickel-type superoxide dismutase maturation protease [Prochlorococcus marinus]
NATL1A_1623	WP_011824273.1 indole-3-glycerol phosphate synthase TrpC [Prochlorococcus marinus]
NATL1A_1624	WP_011824274.1 dihydrolipoyl dehydrogenase [Prochlorococcus marinus]
NATL1A_1625	WP_011824275.1 RNA methyltransferase [Prochlorococcus marinus]
NATL1A_1626	WP_011824277.1 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Prochlorococcus marinus]
NATL1A_1627	ABM76277.1 Acetylornithine and succinylornithine aminotransferases [Prochlorococcus marinus str. NATL1A]
NATL1A_1628	WP_011824279.1 dihydrofolate synthase [Prochlorococcus marinus]
NATL1A_1629	WP_011824280.1 FAD-binding oxidoreductase [Prochlorococcus marinus]
NATL1A_1630	WP_011824281.1 amidohydrolase family protein [Prochlorococcus marinus]
NATL1A_1631	WP_011824282.1 tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB [Prochlorococcus marinus]
NATL1A_1632	WP_011824283.1 D-alanine--D-alanine ligase [Prochlorococcus marinus]
NATL1A_1633	WP_011294961.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_1634	ABM76284.1 Cell division septal protein [Prochlorococcus marinus str. NATL1A]
NATL1A_1635	MAJ24870.1 cell division protein FtsZ [Prochlorococcus sp. MED630]
NATL1A_1636	WP_011824286.1 3-methyl-2-oxobutanoate hydroxymethyltransferase [Prochlorococcus marinus]
NATL1A_1637	WP_011824287.1 radical SAM family heme chaperone HemW [Prochlorococcus marinus]
NATL1A_1638	WP_011824289.1 TRAM domain-containing protein [Prochlorococcus marinus]
NATL1A_1639	WP_011824290.1 ATP-dependent Clp protease proteolytic subunit [Prochlorococcus marinus]
NATL1A_1640	WP_011295228.1 ATP-dependent Clp protease proteolytic subunit [Prochlorococcus marinus]
NATL1A_1641	WP_011824291.1 ketol-acid reductoisomerase [Prochlorococcus marinus]
NATL1A_1642	ABM76293.1 putative cobalamin biosynthetic protein [Prochlorococcus marinus str. NATL1A]
NATL1A_1643	WP_011824293.1 sugar transferase [Prochlorococcus marinus]
NATL1A_1644	none
NATL1A_1645	WP_011824294.1 glycosyltransferase [Prochlorococcus marinus]
NATL1A_1646	ABM76296.1 Hypothetical protein NATL1_17401 [Prochlorococcus marinus str. NATL1A]
NATL1A_1647	WP_011824296.1 high light inducible protein [Prochlorococcus marinus]
NATL1A_1648	WP_011824297.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1649	WP_011824298.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1650	WP_011824299.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1651	WP_011824300.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1652	WP_011824301.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1653	WP_011295240.1 MULTISPECIES: HU family DNA-binding protein [Prochlorococcus]
NATL1A_1654	WP_011824302.1 isoamylase [Prochlorococcus marinus]
NATL1A_1655	ABM76306.1 putative GPH family sugar transporter [Prochlorococcus marinus str. NATL1A]
NATL1A_1656	WP_011824304.1 ABC transporter permease [Prochlorococcus marinus]
NATL1A_1657	WP_011824305.1 DUF3119 family protein [Prochlorococcus marinus]
NATL1A_1658	WP_011824306.1 DUF3086 domain-containing protein [Prochlorococcus marinus]
NATL1A_1659	WP_011824307.1 glycerol-3-phosphate 1-O-acyltransferase PlsY [Prochlorococcus marinus]
NATL1A_1660	WP_011824308.1 orotidine-5'-phosphate decarboxylase [Prochlorococcus marinus]
NATL1A_1661	WP_011824309.1 tyrosine--tRNA ligase [Prochlorococcus marinus]
NATL1A_1662	WP_011295249.1 DUF1825 family protein [Prochlorococcus marinus]
NATL1A_1663	WP_011824310.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1664	WP_011824311.1 leucyl aminopeptidase [Prochlorococcus marinus]
NATL1A_1665	WP_011824312.1 peptide-methionine (S)-S-oxide reductase MsrA [Prochlorococcus marinus]
NATL1A_1666	WP_011824313.1 lipid-A-disaccharide synthase [Prochlorococcus marinus]
NATL1A_1667	WP_011824314.1 acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [Prochlorococcus marinus]
NATL1A_1668	WP_011295255.1 3-hydroxyacyl-ACP dehydratase FabZ [Prochlorococcus marinus]
NATL1A_1669	WP_011824315.1 UDP-3-O-acyl-N-acetylglucosamine deacetylase [Prochlorococcus marinus]
NATL1A_1670	WP_011824316.1 BamA/TamA family outer membrane protein [Prochlorococcus marinus]
NATL1A_1671	WP_011824317.1 phosphoribosylaminoimidazolesuccinocarboxamide synthase [Prochlorococcus marinus]
NATL1A_1672	WP_011824318.1 phosphoribosylamine--glycine ligase [Prochlorococcus marinus]
NATL1A_1673	WP_011824319.1 ATP-binding protein [Prochlorococcus marinus]
NATL1A_1674	WP_011824320.1 circadian clock protein KaiC [Prochlorococcus marinus]
NATL1A_1675	WP_011824321.1 circadian clock protein KaiB [Prochlorococcus marinus]
NATL1A_1676	WP_011824322.1 50S ribosomal protein L21 [Prochlorococcus marinus]
NATL1A_1677	WP_011295264.1 50S ribosomal protein L27 [Prochlorococcus marinus]
NATL1A_1678	WP_011824323.1 methyltransferase domain-containing protein [Prochlorococcus marinus]
NATL1A_1679	WP_011824324.1 tRNA pseudouridine(55) synthase TruB [Prochlorococcus marinus]
NATL1A_1680	WP_011824325.1 SpoIID/LytB domain-containing protein [Prochlorococcus marinus]
NATL1A_1681	WP_011824326.1 ribonuclease Z [Prochlorococcus marinus]
NATL1A_1682	WP_011824327.1 pentapeptide repeat-containing protein [Prochlorococcus marinus]
NATL1A_1683	WP_011295270.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1684	WP_011824328.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1685	WP_011824329.1 2Fe-2S iron-sulfur cluster-binding protein [Prochlorococcus marinus]
NATL1A_1686	ABM76337.1 putative methyltransferase for Ribosomal protein L11 [Prochlorococcus marinus str. NATL1A]
NATL1A_1687	WP_011824331.1 phosphoglycerate dehydrogenase [Prochlorococcus marinus]
NATL1A_1688	WP_011824332.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1689	WP_011824333.1 photosystem II S4 domain protein [Prochlorococcus marinus]
NATL1A_1690	WP_196218575.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1691	WP_011824335.1 UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Prochlorococcus marinus]
NATL1A_1692	WP_011824336.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1693	WP_011824337.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1694	WP_011824338.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1695	WP_011824339.1 EamA family transporter [Prochlorococcus marinus]
NATL1A_1696	WP_011824340.1 GAF domain-containing protein [Prochlorococcus marinus]
NATL1A_1697	WP_011295283.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1698	WP_011824341.1 DoxX family protein [Prochlorococcus marinus]
NATL1A_1699	WP_011824342.1 OsmC family protein [Prochlorococcus marinus]
NATL1A_1700	WP_011824344.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1701	WP_011824346.1 MULTISPECIES: high light inducible protein [Prochlorococcus]
NATL1A_1702	WP_011125327.1 MULTISPECIES: high light inducible protein [Prochlorococcus]
NATL1A_1703	WP_011824348.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1704	WP_011824349.1 DUF3386 domain-containing protein [Prochlorococcus marinus]
NATL1A_1705	WP_011824350.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1706	WP_011824351.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1707	WP_011295293.1 high light inducible protein [Prochlorococcus marinus]
NATL1A_1708	ABM76363.1 Hypothetical protein NATL1_18071 [Prochlorococcus marinus str. NATL1A]
NATL1A_1709	none
NATL1A_1710	WP_041700628.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1711	WP_011824354.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1712	WP_011295035.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_1713	WP_011824355.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1714	ABM76368.1 Hypothetical protein NATL1_18121 [Prochlorococcus marinus str. NATL1A]
NATL1A_1715	WP_011824357.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1716	WP_011824358.1 ABC-F family ATP-binding cassette domain-containing protein [Prochlorococcus marinus]
NATL1A_1717	WP_155105436.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1718	WP_011824360.1 DUF805 domain-containing protein [Prochlorococcus marinus]
NATL1A_1719	WP_011824361.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1720	WP_041700629.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1721	WP_011824363.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_1722	WP_011824364.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_1723	WP_011824365.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_1724	WP_011824366.1 DUF6165 family protein [Prochlorococcus marinus]
NATL1A_1725	WP_011824367.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1726	WP_011824368.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1727	WP_011824369.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1728	WP_011824370.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1729	WP_011824371.1 DUF1651 domain-containing protein [Prochlorococcus marinus]
NATL1A_1730	WP_011824372.1 EVE domain-containing protein [Prochlorococcus marinus]
NATL1A_1731	WP_011824373.1 DUF2811 domain-containing protein [Prochlorococcus marinus]
NATL1A_1732	WP_011824374.1 DUF1818 family protein [Prochlorococcus marinus]
NATL1A_1733	WP_158467134.1 DNA-directed RNA polymerase subunit omega [Prochlorococcus marinus]
NATL1A_1734	WP_011824375.1 Hsp70 family protein [Prochlorococcus marinus]
NATL1A_1735	"WP_011824377.1 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [Prochlorococcus marinus]"
NATL1A_1736	WP_011824378.1 preprotein translocase subunit SecG [Prochlorococcus marinus]
NATL1A_1737	WP_011824379.1 chaperonin GroEL [Prochlorococcus marinus]
NATL1A_1738	WP_011295315.1 co-chaperone GroES [Prochlorococcus marinus]
NATL1A_1739	WP_011824380.1 F0F1 ATP synthase subunit beta [Prochlorococcus marinus]
NATL1A_1740	WP_011824381.1 F0F1 ATP synthase subunit epsilon [Prochlorococcus marinus]
NATL1A_1741	WP_011824382.1 30S ribosomal protein PSRP-3 [Prochlorococcus marinus]
NATL1A_1742	WP_011824383.1 aminopeptidase P N-terminal domain-containing protein [Prochlorococcus marinus]
NATL1A_1743	WP_011824384.1 CNNM domain-containing protein [Prochlorococcus marinus]
NATL1A_1744	WP_011824385.1 GTP-binding protein [Prochlorococcus marinus]
NATL1A_1745	WP_011824386.1 nicotinate-nucleotide adenylyltransferase [Prochlorococcus marinus]
NATL1A_1746	WP_011824387.1 NAD+ synthase [Prochlorococcus marinus]
NATL1A_1747	WP_011824388.1 DUF3326 domain-containing protein [Prochlorococcus marinus]
NATL1A_1748	WP_011824389.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1749	WP_011824390.1 F0F1 ATP synthase subunit gamma [Prochlorococcus marinus]
NATL1A_1750	WP_011824391.1 F0F1 ATP synthase subunit alpha [Prochlorococcus marinus]
NATL1A_1751	WP_011824392.1 MULTISPECIES: F0F1 ATP synthase subunit delta [Prochlorococcus]
NATL1A_1752	WP_011295329.1 F0F1 ATP synthase subunit B [Prochlorococcus marinus]
NATL1A_1753	WP_011824393.1 F0F1 ATP synthase subunit B' [Prochlorococcus marinus]
NATL1A_1754	WP_011130839.1 MULTISPECIES: ATP synthase F0 subunit C [unclassified Prochlorococcus]
NATL1A_1755	WP_011295331.1 MULTISPECIES: F0F1 ATP synthase subunit A [Prochlorococcus]
NATL1A_1756	WP_011295332.1 membrane protein [Prochlorococcus marinus]
NATL1A_1757	RCL51051.1 FtsW/RodA/SpoVE family cell cycle protein [Prochlorococcus sp. MED-G73]
NATL1A_1758	ABM76414.1 putative c-type cytochrome biogenesis protein CcdA [Prochlorococcus marinus str. NATL1A]
NATL1A_1759	WP_011824397.1 cytochrome c biogenesis protein CcsB [Prochlorococcus marinus]
NATL1A_1760	Q46J47.1 RecName: Full=NADPH-dependent 7-cyano-7-deazaguanine reductase; AltName: Full=7-cyano-7-carbaguanine reductase; AltName: Full=NADPH-dependent nitrile oxidoreductase; AltName: Full=PreQ(0) reductase [Prochlorococcus marinus str. NATL2A]
NATL1A_1761	WP_011824399.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1762	WP_011295338.1 P-II family nitrogen regulator [Prochlorococcus marinus]
NATL1A_1763	WP_011824400.1 TlyA family RNA methyltransferase [Prochlorococcus marinus]
NATL1A_1764	WP_011824402.1 adenylosuccinate lyase [Prochlorococcus marinus]
NATL1A_1765	WP_011824403.1 class II fumarate hydratase [Prochlorococcus marinus]
NATL1A_1766	WP_011824404.1 DEAD/DEAH box helicase [Prochlorococcus marinus]
NATL1A_1767	WP_011824405.1 8-amino-7-oxononanoate synthase [Prochlorococcus marinus]
NATL1A_1768	WP_011824406.1 alpha/beta hydrolase [Prochlorococcus marinus]
NATL1A_1769	WP_011824407.1 methyltransferase domain-containing protein [Prochlorococcus marinus]
NATL1A_1770	WP_011824408.1 dethiobiotin synthase [Prochlorococcus marinus]
NATL1A_1771	WP_011824409.1 adenosylmethionine--8-amino-7-oxononanoate transaminase [Prochlorococcus marinus]
NATL1A_1772	WP_011824410.1 J domain-containing protein [Prochlorococcus marinus]
NATL1A_1773	WP_011824411.1 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG [Prochlorococcus marinus]
NATL1A_1774	WP_011824412.1 aldo/keto reductase [Prochlorococcus marinus]
NATL1A_1775	WP_011824413.1 ferredoxin [Prochlorococcus marinus]
NATL1A_1776	WP_011824414.1 DUF1257 domain-containing protein [Prochlorococcus marinus]
NATL1A_1777	AIQ98023.1 hypothetical protein EW15_1931 [Prochlorococcus sp. MIT 0801]
NATL1A_1778	WP_011824415.1 HEAT repeat domain-containing protein [Prochlorococcus marinus]
NATL1A_1779	WP_011824417.1 Na+:solute symporter [Prochlorococcus marinus]
NATL1A_1780	WP_011824418.1 23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN [Prochlorococcus marinus]
NATL1A_1781	WP_011295358.1 high light inducible protein [Prochlorococcus marinus]
NATL1A_1782	WP_011824419.1 DNA-directed RNA polymerase subunit beta' [Prochlorococcus marinus]
NATL1A_1783	WP_011824420.1 DNA-directed RNA polymerase subunit gamma [Prochlorococcus marinus]
NATL1A_1784	WP_011824421.1 DNA-directed RNA polymerase subunit beta [Prochlorococcus marinus]
NATL1A_1785	WP_011295362.1 TatD family hydrolase [Prochlorococcus marinus]
NATL1A_1786	WP_011295363.1 MULTISPECIES: 30S ribosomal protein S20 [Prochlorococcus]
NATL1A_1787	WP_011824422.1 histidinol dehydrogenase [Prochlorococcus marinus]
NATL1A_1788	WP_011824423.1 ribose-5-phosphate isomerase RpiA [Prochlorococcus marinus]
NATL1A_1789	WP_011824424.1 trypsin-like peptidase domain-containing protein [Prochlorococcus marinus]
NATL1A_1790	WP_011824425.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1791	WP_011824426.1 transcription termination factor NusA [Prochlorococcus marinus]
NATL1A_1792	WP_011824427.1 YlxR family protein [Prochlorococcus marinus]
NATL1A_1793	WP_011824428.1 translation initiation factor IF-2 [Prochlorococcus marinus]
NATL1A_1794	ABM76452.1 Hypothetical protein NATL1_18961 [Prochlorococcus marinus str. NATL1A]
NATL1A_1795	WP_011824430.1 GTP cyclohydrolase I [Prochlorococcus marinus]
NATL1A_1796	ABM76454.1 Conserved hypothetical protein [Prochlorococcus marinus str. NATL1A]
NATL1A_1797	WP_011824432.1 DUF3721 domain-containing protein [Prochlorococcus marinus]
NATL1A_1798	WP_011824433.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1799	WP_011824434.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1800	WP_011824435.1 metal ABC transporter permease [Prochlorococcus marinus]
NATL1A_1801	WP_011824436.1 transcriptional repressor [Prochlorococcus marinus]
NATL1A_1802	WP_011824437.1 ABC transporter ATP-binding protein [Prochlorococcus marinus]
NATL1A_1803	WP_011824438.1 zinc ABC transporter substrate-binding protein [Prochlorococcus marinus]
NATL1A_1804	WP_011824439.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1805	WP_011824440.1 GTP-binding protein [Prochlorococcus marinus]
NATL1A_1806	WP_011824441.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1807	WP_011295192.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_1808	WP_155105439.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1809	WP_011824443.1 2OG-Fe(II) oxygenase [Prochlorococcus marinus]
NATL1A_1810	WP_187146447.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1811	AAZ58530.1 conserved hypothetical protein [Prochlorococcus marinus str. NATL2A]
NATL1A_1812	WP_011824444.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1813	WP_011824445.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1814	WP_011824447.1 urea ABC transporter ATP-binding subunit UrtE [Prochlorococcus marinus]
NATL1A_1815	WP_011824448.1 urea ABC transporter ATP-binding protein UrtD [Prochlorococcus marinus]
NATL1A_1816	WP_011824449.1 urea ABC transporter permease subunit UrtC [Prochlorococcus marinus]
NATL1A_1817	WP_011824450.1 urea ABC transporter permease subunit UrtB [Prochlorococcus marinus]
NATL1A_1818	WP_011824451.1 urea ABC transporter substrate-binding protein [Prochlorococcus marinus]
NATL1A_1819	WP_011824452.1 urease accessory protein UreG [Prochlorococcus marinus]
NATL1A_1820	WP_011824453.1 urease accessory protein UreF [Prochlorococcus marinus]
NATL1A_1821	WP_011824454.1 urease accessory protein UreE [Prochlorococcus marinus]
NATL1A_1822	WP_011824455.1 urease accessory protein UreD [Prochlorococcus marinus]
NATL1A_1823	WP_011824456.1 urease subunit gamma [Prochlorococcus marinus]
NATL1A_1824	WP_011295399.1 urease subunit beta [Prochlorococcus marinus]
NATL1A_1825	WP_011824457.1 urease subunit alpha [Prochlorococcus marinus]
NATL1A_1826	WP_011824458.1 DUF1830 domain-containing protein [Prochlorococcus marinus]
NATL1A_1827	ABM76485.1 Hypothetical protein NATL1_19291 [Prochlorococcus marinus str. NATL1A]
NATL1A_1828	WP_011824461.1 porin [Prochlorococcus marinus]
NATL1A_1829	ABM76487.1 Hypothetical protein NATL1_19311 [Prochlorococcus marinus str. NATL1A]
NATL1A_1830	ABM76488.1 Hypothetical protein NATL1_19321 [Prochlorococcus marinus str. NATL1A]
NATL1A_1831	WP_011295403.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1832	WP_011295404.1 MULTISPECIES: RNA-binding protein [Prochlorococcus]
NATL1A_1833	WP_011824464.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_1834	WP_036905696.1 AbrB family transcriptional regulator [Prochlorococcus marinus]
NATL1A_1835	WP_011824466.1 B12-binding domain-containing radical SAM protein [Prochlorococcus marinus]
NATL1A_1836	WP_011824467.1 CPBP family intramembrane metalloprotease [Prochlorococcus marinus]
