"seq_id"	"P5_mean_fpkm"	"P6_mean_fpkm"	"logFC.P6.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"abslogfc"	"KO_g"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp30422_c0_seq1.683.1579.plus.P33"	43.97	2.27	-4.22	4.53e-05	"yes"	"down"	"K00852"	"map00030"	"Alteromonas"	4.22	"K00852_Alteromonas"	"pfkb domain protein"	"K00852"	"ribokinase [EC:2.7.1.15]"	"-"	"K00852 _ -"
"comp34479_c0_seq1.11006.11950.plus.P31"	7.08	0.54	-3.5	4.9e-05	"yes"	"down"	"K00874"	"map00030"	"Alteromonas"	3.5	"K00874_Alteromonas"	"pfkb domain protein"	"K00874"	"2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"	"-"	"K00874 _ -"
"comp49566_c2_seq1.17380.18129.plus.P32"	54.14	6.6	-3.02	0.000123	"yes"	"down"	"K01783"	"map00030"	"Alteromonas"	3.02	"K01783_Alteromonas"	"ribulose-phosphate 3-epimerase activity"	"K01783"	"ribulose-phosphate 3-epimerase [EC:5.1.3.1]"	"-"	"K01783 _ -"
"comp27767_c1_seq1.1124.3168.minus.P33"	3.07	0.18	-3.5	0.000225	"yes"	"down"	"K00615"	"map00030"	"Alteromonas"	3.5	"K00615_Alteromonas"	"Transketolase"	"K00615"	"transketolase [EC:2.2.1.1]"	"-"	"K00615 _ -"
"comp20976_c0_seq1.2696.3388.plus.P51"	60.29	10.65	-2.49	0.000908	"yes"	"down"	"K01057"	"map00030"	"Alteromonas"	2.49	"K01057_Alteromonas"	"Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion (By similarity)"	"K01057"	"6-phosphogluconolactonase [EC:3.1.1.31]"	"-"	"K01057 _ -"
"comp24888_c0_seq1.4787.6373.plus.P52"	69.49	8.62	-3	0.00114	"yes"	"down"	"K00033"	"map00030"	"Alteromonas"	3	"K00033_Alteromonas"	"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)"	"K00033"	"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	"-"	"K00033 _ -"
"comp34479_c0_seq1.10362.10982.plus.P31"	1.91	0.1	-3.34	0.00122	"yes"	"down"	"K01625"	"map00030"	"Alteromonas"	3.34	"K01625_Alteromonas"	"Aldolase"	"K01625"	"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]"	"-"	"K01625 _ -"
"comp21119_c0_seq3.38.985.minus.P51"	107.5	14.1	-2.92	0.00186	"no"	"down"	"K00948"	"map00030"	"Alteromonas"	2.92	"K00948_Alteromonas"	"Phosphoribosyl pyrophosphate synthase"	"K00948"	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	"-"	"K00948 _ -"
"comp17607_c0_seq1.471.1571.plus.P11"	0.29	1.74	2.23	0.00233	"no"	"up"	"K00948"	"map00030"	"Marinobacter"	2.23	"K00948_Marinobacter"	"Phosphoribosyl pyrophosphate synthase"	"K00948"	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	"prsA"	"K00948 _ prsA"
"comp20976_c0_seq1.1201.2694.plus.P51"	44.15	9.09	-2.27	0.00325	"no"	"down"	"K00036"	"map00030"	"Alteromonas"	2.27	"K00036_Alteromonas"	"Glucose-6-phosphate 1-dehydrogenase"	"K00036"	"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"	"-"	"K00036 _ -"
"comp19312_c1_seq1.12.965.minus.P23"	0.11	1	2.39	0.00474	"no"	"up"	"K00615"	"map00030"	"Psychroserpens"	2.39	"K00615_Psychroserpens"	"Transketolase"	"K00615"	"transketolase [EC:2.2.1.1]"	"-"	"K00615 _ -"
"comp20976_c0_seq1.3398.5224.plus.P51"	25.18	6.77	-1.88	0.00521	"no"	"down"	"K01690"	"map00030"	"Alteromonas"	1.88	"K01690_Alteromonas"	"Dihydroxy-acid dehydratase"	"K01690"	"phosphogluconate dehydratase [EC:4.2.1.12]"	"-"	"K01690 _ -"
"comp18141_c0_seq1.39.980.plus.P21"	1.56	6.7	2.04	0.0114	"no"	"up"	"K00948"	"map00030"	"Psychroserpens"	2.04	"K00948_Psychroserpens"	"Phosphoribosyl pyrophosphate synthase"	"K00948"	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	"prs"	"K00948 _ prs"
"comp86995_c0_seq1.1.826.minus.P11"	0	0.56	2.73	0.0265	"no"	"up"	"K00615"	"map00030"	"Marinobacter"	2.73	"K00615_Marinobacter"	"Transketolase"	"K00615"	"transketolase [EC:2.2.1.1]"	"-"	"K00615 _ -"
"comp31581_c0_seq1.896.2740.minus.P31"	0.92	2.7	1.45	0.0319	"no"	"up"	"K01690"	"map00030"	"Maricaulis"	1.45	"K01690_Maricaulis"	"Dihydroxy-acid dehydratase"	"K01690"	"phosphogluconate dehydratase [EC:4.2.1.12]"	"-"	"K01690 _ -"
"comp49082_c1_seq1.2102.3619.plus.P32"	4.48	0.3	-3.53	1.89e-06	"yes"	"down"	"K00045"	"map00051"	"Alteromonas"	3.53	"K00045_Alteromonas"	"Mannitol dehydrogenase"	"K00045"	"mannitol 2-dehydrogenase [EC:1.1.1.67]"	"-"	"K00045 _ -"
"comp32075_c0_seq3.33364.34773.plus.P31"	12.41	0.22	-5.29	6.45e-06	"yes"	"down"	"K16011"	"map00051"	"Alteromonas"	5.29	"K16011_Alteromonas"	"mannose-1-phosphate guanylyltransferase activity|Mannose-1-phosphate guanylyltransferase Mannose-6-phosphate isomerase"	"K16011"	"mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]"	"-"	"K16011 _ -"
"comp29913_c0_seq1.10759.11550.plus.P33"	14.92	1.13	-3.61	3.18e-05	"yes"	"down"	"K18335"	"map00051"	"Alteromonas"	3.61	"K18335_Alteromonas"	"Short-chain dehydrogenase reductase Sdr"	"K18335"	"2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]"	"-"	"K18335 _ -"
"comp28395_c0_seq1.15895.17355.plus.P31"	27.29	2.77	-3.25	4.56e-05	"yes"	"down"	"K01840"	"map00051"	"Alteromonas"	3.25	"K01840_Alteromonas"	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01840"	"phosphomannomutase [EC:5.4.2.8]"	"-"	"K01840 _ -"
"comp48931_c1_seq1.30393.31175.plus.P32"	5.9	0.72	-2.87	0.00162	"yes"	"down"	"K07026"	"map00051"	"Alteromonas"	2.87	"K07026_Alteromonas"	"Mannosyl-3-phosphoglycerate phosphatase"	"K07026"	"mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]"	"-"	"K07026 _ -"
"comp26588_c0_seq1.33913.34881.plus.P31"	88.75	13.95	-2.66	0.00231	"no"	"down"	"K00847"	"map00051"	"Alteromonas"	2.66	"K00847_Alteromonas"	"pfkb domain protein"	"K00847"	"fructokinase [EC:2.7.1.4]"	"-"	"K00847 _ -"
"comp26588_c0_seq1.33913.34881.plus.P31"	88.75	13.95	-2.66	0.00231	"no"	"down"	"K00847"	"map00500"	"Alteromonas"	2.66	"K00847_Alteromonas"	"pfkb domain protein"	"K00847"	"fructokinase [EC:2.7.1.4]"	"-"	"K00847 _ -"
"comp15885_c0_seq1.1.1309.minus.P53"	4.94	0.6	-2.84	0.00497	"no"	"down"	"K01805"	"map00051"	"Alteromonas"	2.84	"K01805_Alteromonas"	"Xylose isomerase"	"K01805"	"xylose isomerase [EC:5.3.1.5]"	"-"	"K01805 _ -"
"comp208135_c0_seq1.1.604.minus.P13"	0	0.62	2.85	0.0367	"no"	"up"	"K18335"	"map00051"	"Oceaniradius"	2.85	"K18335_Oceaniradius"	"-"	"K18335"	"2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]"	"-"	"K18335 _ -"
"comp14962_c0_seq1.16825.17898.plus.P31"	709.68	18.7	-5.24	1.25e-09	"yes"	"down"	"K00457"	"map00130"	"Alteromonas"	5.24	"K00457_Alteromonas"	"4-Hydroxyphenylpyruvate dioxygenase"	"K00457"	"4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"	"-"	"K00457 _ -"
"comp26588_c0_seq1.25281.26033.plus.P31"	19.05	1.42	-3.65	1.17e-07	"yes"	"down"	"K00568"	"map00130"	"Alteromonas"	3.65	"K00568_Alteromonas"	"Non-specific O-methyltransferase that catalyzes the 2 O- methylation steps in the ubiquinone biosynthetic pathway (By similarity)"	"K00568"	"2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]"	"-"	"K00568 _ -"
"comp15164_c0_seq1.9809.11155.plus.P31"	23.52	1.4	-3.98	6.44e-06	"yes"	"down"	"K03185"	"map00130"	"Alteromonas"	3.98	"K03185_Alteromonas"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"K03185"	"2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]"	"-"	"K03185 _ -"
"comp29269_c0_seq1.7468.8667.plus.P33"	21.58	1.71	-3.58	8.38e-06	"yes"	"down"	"K03184"	"map00130"	"Alteromonas"	3.58	"K03184_Alteromonas"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"K03184"	"3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"	"-"	"K03184 _ -"
"comp56114_c0_seq1.30.1202.minus.P52"	18.3	1.12	-3.91	1.7e-05	"yes"	"down"	"K18800"	"map00130"	"Alteromonas"	3.91	"K18800_Alteromonas"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"K18800"	"2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]"	"-"	"K18800 _ -"
"comp30374_c13_seq3.14567.15424.plus.P33"	5.94	0.42	-3.54	3.84e-05	"yes"	"down"	"K19267"	"map00130"	"Alteromonas"	3.54	"K19267_Alteromonas"	"epimerase dehydratase"	"K19267"	"NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"	"-"	"K19267 _ -"
"comp30142_c0_seq3.20883.21497.plus.P33"	23.53	2.63	-3.12	5.02e-05	"yes"	"down"	"K03181"	"map00130"	"Alteromonas"	3.12	"K03181_Alteromonas"	"Removes the pyruvyl group from chorismate, with concomitant aromatization of the ring, to provide 4- hydroxybenzoate (4HB) for the ubiquinone pathway (By similarity)"	"K03181"	"chorismate lyase [EC:4.1.3.40]"	"-"	"K03181 _ -"
"comp33554_c8_seq1.10106.10903.plus.P31"	23.06	2.04	-3.44	0.000147	"yes"	"down"	"K03183"	"map00130"	"Alteromonas"	3.44	"K03183_Alteromonas"	"Methyltransferase required for the conversion of demethylmenaquinone (DMKH2) to menaquinone (MKH2)"	"K03183"	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	"-"	"K03183 _ -"
"comp33519_c24_seq1.52.909.minus.P31"	4.97	0.67	-2.72	0.000291	"yes"	"down"	"K03179"	"map00130"	"Alteromonas"	2.72	"K03179_Alteromonas"	"Synthesis of 3-octaprenyl-4-hydroxybenzoate (By similarity)"	"K03179"	"4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"	"-"	"K03179 _ -"
"comp33519_c16_seq3.2848.3342.plus.P31"	3.66	0.29	-3.26	0.000548	"yes"	"down"	"K03809"	"map00130"	"Alteromonas"	3.26	"K03809_Alteromonas"	"Nadph-dependent fmn reductase"	"K03809"	"NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"	"-"	"K03809 _ -"
"comp17280_c0_seq1.814.2307.minus.P51"	25.01	4.51	-2.45	0.00201	"no"	"down"	"K03182"	"map00130"	"Alteromonas"	2.45	"K03182_Alteromonas"	"Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol (By similarity)"	"K03182"	"4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"	"-"	"K03182 _ -"
"comp14974_c0_seq1.6219.6878.plus.P31"	9.33	1.01	-3.09	0.00224	"no"	"down"	"K03186"	"map00130"	"Alteromonas"	3.09	"K03186_Alteromonas"	"carboxy-lyase activity"	"K03186"	"flavin prenyltransferase [EC:2.5.1.129]"	"-"	"K03186 _ -"
"comp20296_c1_seq1.686.1304.minus.P12"	0	1.08	3.55	0.00239	"no"	"up"	"K03184"	"map00130"	"Marinobacter"	3.55	"K03184_Marinobacter"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"K03184"	"3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"	"-"	"K03184 _ -"
"comp15407_c0_seq1.81.1007.plus.P23"	1.8	7.38	1.98	0.00428	"no"	"up"	"K03179"	"map00130"	"Maricaulis"	1.98	"K03179_Maricaulis"	"Synthesis of 3-octaprenyl-4-hydroxybenzoate (By similarity)"	"K03179"	"4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]"	"-"	"K03179 _ -"
"comp42949_c0_seq2.296.2056.plus.P32"	0.16	1.12	2.22	0.00643	"no"	"up"	"K02551"	"map00130"	"Psychroserpens"	2.22	"K02551_Psychroserpens"	"Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity)"	"K02551"	"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]"	"menD"	"K02551 _ menD"
"comp12204_c0_seq1.50.895.plus.P23"	0.43	2.02	2.01	0.0141	"no"	"up"	"K18800"	"map00130"	"Marinobacter"	2.01	"K18800_Marinobacter"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"K18800"	"2-polyprenylphenol 6-hydroxylase [EC:1.14.13.240]"	"-"	"K18800 _ -"
"comp24533_c0_seq1.21477.22055.plus.P32"	1.04	0.11	-2.45	0.0188	"no"	"down"	"K06134"	"map00130"	"Alteromonas"	2.45	"K06134_Alteromonas"	"Oxygenase that introduces the hydroxyl group at carbon five of 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol resulting in the formation of 2-nonaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4- benzoquinol (By similarity)"	"K06134"	"3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"	"-"	"K06134 _ -"
"comp14838_c0_seq1.18.1178.minus.P31"	0.93	2.8	1.5	0.0253	"no"	"up"	"K00457"	"map00130"	"Psychroserpens"	1.5	"K00457_Psychroserpens"	"4-Hydroxyphenylpyruvate dioxygenase"	"K00457"	"4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"	"hppD"	"K00457 _ hppD"
"comp15115_c0_seq1.1.991.minus.P41"	0.07	0.75	2.3	0.0266	"no"	"up"	"K03182"	"map00130"	"Marinobacter"	2.3	"K03182_Marinobacter"	"Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol (By similarity)"	"K03182"	"4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]"	"-"	"K03182 _ -"
"comp17858_c0_seq1.1.692.minus.P61"	0.5	2.76	2.26	0.0275	"no"	"up"	"K03183"	"map00130"	"Psychroserpens"	2.26	"K03183_Psychroserpens"	"Methyltransferase required for the conversion of demethylmenaquinone (DMKH2) to menaquinone (MKH2)"	"K03183"	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	"-"	"K03183 _ -"
"comp32022_c0_seq1.635.3187.plus.P31"	2.14	0.02	-4.24	1.98e-10	"yes"	"down"	"K05349"	"map00500"	"Alteromonas"	4.24	"K05349_Alteromonas"	"hydrolase family 3"	"K05349"	"beta-glucosidase [EC:3.2.1.21]"	"-"	"K05349 _ -"
"comp13295_c0_seq1.17670.18029.plus.P33"	128.07	8.99	-3.82	8.92e-08	"yes"	"down"	"K05341"	"map00500"	"Alteromonas"	3.82	"K05341_Alteromonas"	"alpha amylase, catalytic"	"K05341"	"amylosucrase [EC:2.4.1.4]"	"-"	"K05341 _ -"
"comp32412_c11_seq1.1515.3074.plus.P31"	1024.95	60.56	-4.08	5.72e-07	"yes"	"down"	"K00690"	"map00500"	"Alteromonas"	4.08	"K00690_Alteromonas"	"alpha amylase, catalytic"	"K00690"	"sucrose phosphorylase [EC:2.4.1.7]"	"-"	"K00690 _ -"
"comp50232_c14_seq1.1403.2789.minus.P32"	33	3.07	-3.38	1.16e-06	"yes"	"down"	"K00975"	"map00500"	"Alteromonas"	3.38	"K00975_Alteromonas"	"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)"	"K00975"	"glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]"	"-"	"K00975 _ -"
"comp13675_c0_seq1.618.2141.plus.P33"	6.72	0.26	-4.23	1.29e-06	"yes"	"down"	"K01194"	"map00500"	"Alteromonas"	4.23	"K01194_Alteromonas"	"trehalase"	"K01194"	"alpha,alpha-trehalase [EC:3.2.1.28]"	"-"	"K01194 _ -"
"comp33940_c0_seq1.13805.18223.minus.P31"	5.94	0.47	-3.42	8.64e-06	"yes"	"down"	"K01200"	"map00500"	"Alteromonas"	3.42	"K01200_Alteromonas"	"Glycogen debranching enzyme"	"K01200"	"pullulanase [EC:3.2.1.41]"	"-"	"K01200 _ -"
"comp50161_c78_seq1.3583.5007.plus.P32"	23.32	1.81	-3.61	3.63e-05	"yes"	"down"	"K00703"	"map00500"	"Alteromonas"	3.61	"K00703_Alteromonas"	"starch synthase activity"	"K00703"	"starch synthase [EC:2.4.1.21]"	"glgA"	"K00703 _ glgA"
"comp13290_c0_seq1.9219.10634.plus.P33"	16.96	1.24	-3.67	7.41e-05	"yes"	"down"	"K01176"	"map00500"	"Alteromonas"	3.67	"K01176_Alteromonas"	"alpha amylase, catalytic"	"K01176"	"alpha-amylase [EC:3.2.1.1]"	"-"	"K01176 _ -"
"comp16000_c0_seq1.1.2373.minus.P53"	3.61	0.34	-3.08	8.03e-05	"yes"	"down"	"K01179"	"map00500"	"Alteromonas"	3.08	"K01179_Alteromonas"	"Glycoside hydrolase, family 9"	"K01179"	"endoglucanase [EC:3.2.1.4]"	"-"	"K01179 _ -"
"comp16000_c0_seq1.1.2373.minus.P53"	3.61	0.34	-3.08	8.03e-05	"yes"	"down"	"K01179"	"map02020"	"Alteromonas"	3.08	"K01179_Alteromonas"	"Glycoside hydrolase, family 9"	"K01179"	"endoglucanase [EC:3.2.1.4]"	"-"	"K01179 _ -"
"comp13959_c0_seq1.6981.9179.minus.P53"	12.34	1.16	-3.3	0.000179	"yes"	"down"	"K00705"	"map00500"	"Alteromonas"	3.3	"K00705_Alteromonas"	"4-alpha-glucanotransferase"	"K00705"	"4-alpha-glucanotransferase [EC:2.4.1.25]"	"malQ"	"K00705 _ malQ"
"comp50221_c9_seq1.122.2599.plus.P32"	14.24	1.88	-2.85	0.000205	"yes"	"down"	"K00688"	"map00500"	"Alteromonas"	2.85	"K00688_Alteromonas"	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"	"K00688"	"glycogen phosphorylase [EC:2.4.1.1]"	"-"	"K00688 _ -"
"comp14812_c0_seq1.823.2181.plus.P31"	2.58	0.27	-2.85	0.00021	"yes"	"down"	"K05350"	"map00500"	"Alteromonas"	2.85	"K05350_Alteromonas"	"beta-glucosidase"	"K05350"	"beta-glucosidase [EC:3.2.1.21]"	"-"	"K05350 _ -"
"comp30374_c26_seq1.4667.6850.minus.P33"	27.46	4.57	-2.56	0.000242	"yes"	"down"	"K00700"	"map00500"	"Alteromonas"	2.56	"K00700_Alteromonas"	"Catalyzes the formation of the alpha-1,6-glucosidic linkages in glycogen by scission of a 1,4-alpha-linked oligosaccharide from growing alpha-1,4-glucan chains and the subsequent attachment of the oligosaccharide to the alpha-1,6 position (By similarity)"	"K00700"	"1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	"-"	"K00700 _ -"
"comp11574_c0_seq1.5350.7494.plus.P53"	18.15	2.86	-2.62	0.000332	"yes"	"down"	"K00694"	"map00500"	"Alteromonas"	2.62	"K00694_Alteromonas"	"Glycosyl transferase, family 2"	"K00694"	"cellulose synthase (UDP-forming) [EC:2.4.1.12]"	"-"	"K00694 _ -"
"comp50232_c30_seq1.318.1211.plus.P32"	164.16	13.03	-3.64	0.000981	"yes"	"down"	"K00963"	"map00500"	"Alteromonas"	3.64	"K00963_Alteromonas"	"utp--glucose-1-phosphate uridylyltransferase"	"K00963"	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	"-"	"K00963 _ -"
"comp19242_c2_seq1.1436.2134.plus.P61"	0.21	3.38	3.47	0.00106	"yes"	"up"	"K01838"	"map00500"	"Psychroserpens"	3.47	"K01838_Psychroserpens"	"HAD-superfamily hydrolase subfamily IA variant 3"	"K01838"	"beta-phosphoglucomutase [EC:5.4.2.6]"	"pgmB"	"K01838 _ pgmB"
"comp24888_c0_seq1.2404.4491.plus.P52"	14.65	3.15	-2.18	0.00178	"no"	"down"	"K01214"	"map00500"	"Alteromonas"	2.18	"K01214_Alteromonas"	"Glycogen debranching enzyme"	"K01214"	"isoamylase [EC:3.2.1.68]"	"-"	"K01214 _ -"
"comp28884_c1_seq1.8365.10428.plus.P31"	27.27	6.72	-2.01	0.00261	"no"	"down"	"K01187"	"map00500"	"Alteromonas"	2.01	"K01187_Alteromonas"	"alphaglucosidase"	"K01187"	"alpha-glucosidase [EC:3.2.1.20]"	"-"	"K01187 _ -"
"comp21516_c0_seq1.1158.2786.minus.P11"	8.72	30.61	1.8	0.00894	"no"	"up"	"K01187"	"map00500"	"Maricaulis"	1.8	"K01187_Maricaulis"	"alpha amylase, catalytic"	"K01187"	"alpha-glucosidase [EC:3.2.1.20]"	"-"	"K01187 _ -"
"comp13706_c0_seq2.1.737.minus.P11"	0.57	2.01	1.65	0.0362	"no"	"up"	"K00963"	"map00500"	"Marinobacter"	1.65	"K00963_Marinobacter"	"utp--glucose-1-phosphate uridylyltransferase"	"K00963"	"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"	"-"	"K00963 _ -"
"comp19840_c0_seq1.41.913.plus.P31"	0.04	0.47	2	0.0469	"no"	"up"	"K00688"	"map00500"	"Marinobacter"	2	"K00688_Marinobacter"	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"	"K00688"	"glycogen phosphorylase [EC:2.4.1.1]"	"-"	"K00688 _ -"
"comp30161_c0_seq2.7544.9280.plus.P33"	45.94	2.3	-4.26	4.09e-08	"yes"	"down"	"K01657"	"map02024"	"Alteromonas"	4.26	"K01657_Alteromonas"	"synthase (Component I)"	"K01657"	"anthranilate synthase component I [EC:4.1.3.27]"	"-"	"K01657 _ -"
"comp16756_c0_seq2.265.3009.minus.P63"	0	0.66	2.93	2.31e-07	"yes"	"up"	"K03070"	"map02024"	"Hwanghaeella"	2.93	"K03070_Hwanghaeella"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving"	"K03070"	"preprotein translocase subunit SecA [EC:7.4.2.8]"	"-"	"K03070 _ -"
"comp30161_c0_seq2.9289.9909.plus.P33"	35.61	1.84	-4.2	2.32e-07	"yes"	"down"	"K01658"	"map02024"	"Alteromonas"	4.2	"K01658_Alteromonas"	"anthranilate synthase"	"K01658"	"anthranilate synthase component II [EC:4.1.3.27]"	"-"	"K01658 _ -"
"comp33942_c0_seq1.21119.23638.plus.P31"	1.98	0.03	-3.96	5.45e-07	"yes"	"down"	"K14645"	"map02024"	"Alteromonas"	3.96	"K14645_Alteromonas"	"peptidase (S8 and S53, subtilisin, kexin, sedolisin|NA"	"K14645"	"serine protease [EC:3.4.21.-]"	"-"	"K14645 _ -"
"comp72810_c0_seq1.32.698.minus.P61"	130.45	5.04	-4.67	1.28e-06	"yes"	"down"	"K01497"	"map02024"	"Alteromonas"	4.67	"K01497_Alteromonas"	"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)"	"K01497"	"GTP cyclohydrolase II [EC:3.5.4.25]"	"-"	"K01497 _ -"
"comp49797_c0_seq1.16106.17692.plus.P32"	6.95	0.18	-4.65	2.04e-06	"yes"	"down"	"K01897"	"map02024"	"Alteromonas"	4.65	"K01897_Alteromonas"	"Amp-dependent synthetase and ligase"	"K01897"	"long-chain acyl-CoA synthetase [EC:6.2.1.3]"	"-"	"K01897 _ -"
"comp17506_c0_seq1.765.3332.minus.P53"	5.78	0.09	-4.97	5.57e-06	"yes"	"down"	"K12257"	"map02024"	"Alteromonas"	4.97	"K12257_Alteromonas"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)|Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)"	"K12257"	"SecD/SecF fusion protein"	"-"	"K12257 _ -"
"comp29697_c0_seq2.128.1411.plus.P33"	14.87	1.49	-3.23	7.89e-06	"yes"	"down"	"K02055"	"map02024"	"Alteromonas"	3.23	"K02055_Alteromonas"	"polyamine binding"	"K02055"	"putative spermidine/putrescine transport system substrate-binding protein"	"-"	"K02055 _ -"
"comp16674_c0_seq1.1500.2678.plus.P52"	30.58	3.91	-2.93	8.59e-06	"yes"	"down"	"K01999"	"map02024"	"Alteromonas"	2.93	"K01999_Alteromonas"	"extracellular ligand-binding receptor"	"K01999"	"branched-chain amino acid transport system substrate-binding protein"	"-"	"K01999 _ -"
"comp33339_c12_seq1.730.3438.minus.P31"	46.74	1.11	-5.28	1.12e-05	"yes"	"down"	"K03070"	"map02024"	"Alteromonas"	5.28	"K03070_Alteromonas"	"Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving"	"K03070"	"preprotein translocase subunit SecA [EC:7.4.2.8]"	"-"	"K03070 _ -"
"comp33554_c11_seq1.196.17460.plus.P31"	12.47	1.74	-2.77	1.94e-05	"yes"	"down"	"K20276"	"map02024"	"Alteromonas"	2.77	"K20276_Alteromonas"	"outer membrane adhesin-like protein"	"K20276"	"large repetitive protein"	"-"	"K20276 _ -"
"comp9210_c0_seq1.8.1351.minus.P51"	108.03	2.79	-5.23	2.51e-05	"yes"	"down"	"K01626"	"map02024"	"Alteromonas"	5.23	"K01626_Alteromonas"	"phospho-2-dehydro-3-deoxyheptonate aldolase"	"K01626"	"3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"	"-"	"K01626 _ -"
