"seq_id"	"P5_mean_fpkm"	"P3_mean_fpkm"	"logFC.P3.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"KO_g"	"abslogfc"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	13.22	3.59	0.000989	"yes"	"up"	"K00850"	"map00030"	"Psychroserpens"	"K00850_Psychroserpens"	3.59	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	13.22	3.59	0.000989	"yes"	"up"	"K00850"	"map00051"	"Psychroserpens"	"K00850_Psychroserpens"	3.59	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
"comp63403_c0_seq1.891.1959.minus.P61"	0.2	5.48	4.2	0.00101	"yes"	"up"	"K01624"	"map00010"	"Psychroserpens"	"K01624_Psychroserpens"	4.2	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp63403_c0_seq1.891.1959.minus.P61"	0.2	5.48	4.2	0.00101	"yes"	"up"	"K01624"	"map00030"	"Psychroserpens"	"K01624_Psychroserpens"	4.2	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp63403_c0_seq1.891.1959.minus.P61"	0.2	5.48	4.2	0.00101	"yes"	"up"	"K01624"	"map00051"	"Psychroserpens"	"K01624_Psychroserpens"	4.2	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp18703_c1_seq1.17.1336.plus.P61"	1.62	0.1	-3.1	0.00106	"yes"	"down"	"K01006"	"map00010"	"Hwanghaeella"	"K01006_Hwanghaeella"	3.1	"-"	"K01006"	"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	"-"	"K01006 _ -"
"comp25138_c1_seq1.1339.2874.minus.P33"	0.17	2.88	3.48	0.0011	"yes"	"up"	"K15633"	"map00010"	"Psychroserpens"	"K15633_Psychroserpens"	3.48	"Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)"	"K15633"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	"gpmI"	"K15633 _ gpmI"
"comp50070_c10_seq4.12838.14559.plus.P32"	0.29	4.85	3.68	0.00166	"no"	"up"	"K01007"	"map00010"	"Oceaniradius"	"K01007_Oceaniradius"	3.68	"phosphotransferase activity, paired acceptors"	"K01007"	"pyruvate, water dikinase [EC:2.7.9.2]"	"-"	"K01007 _ -"
"comp5862_c0_seq1.168.1174.minus.P63"	0.87	13.26	3.79	0.00171	"no"	"up"	"K00161"	"map00010"	"Psychroserpens"	"K00161_Psychroserpens"	3.79	"Dehydrogenase"	"K00161"	"pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"	"-"	"K00161 _ -"
"comp14295_c0_seq1.5082.6125.plus.P13"	143.61	19.24	-2.89	0.00205	"no"	"down"	"K00845"	"map00010"	"Prochlorococcus"	"K00845_Prochlorococcus"	2.89	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp14295_c0_seq1.5082.6125.plus.P13"	143.61	19.24	-2.89	0.00205	"no"	"down"	"K00845"	"map00500"	"Prochlorococcus"	"K00845_Prochlorococcus"	2.89	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp17591_c111_seq1.14.1393.plus.P11"	223.01	32.14	-2.79	0.00291	"no"	"down"	"K00128"	"map00010"	"Prochlorococcus"	"K00128_Prochlorococcus"	2.79	"Dehydrogenase"	"K00128"	"aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	"-"	"K00128 _ -"
"comp33011_c11_seq1.2125.4071.plus.P31"	24.14	274.59	3.5	0.00357	"no"	"up"	"K01895"	"map00010"	"Alteromonas"	"K01895_Alteromonas"	3.5	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp86187_c0_seq1.271.973.minus.P33"	0	1.18	3.67	0.00436	"no"	"up"	"K00128"	"map00010"	"Psychroserpens"	"K00128_Psychroserpens"	3.67	"Dehydrogenase"	"K00128"	"aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	"-"	"K00128 _ -"
"comp22447_c0_seq1.22659.24308.plus.P21"	141.84	22.23	-2.67	0.00506	"no"	"down"	"K01835"	"map00010"	"Prochlorococcus"	"K01835_Prochlorococcus"	2.67	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"pgm"	"K01835 _ pgm"
"comp22447_c0_seq1.22659.24308.plus.P21"	141.84	22.23	-2.67	0.00506	"no"	"down"	"K01835"	"map00030"	"Prochlorococcus"	"K01835_Prochlorococcus"	2.67	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"pgm"	"K01835 _ pgm"
"comp22447_c0_seq1.22659.24308.plus.P21"	141.84	22.23	-2.67	0.00506	"no"	"down"	"K01835"	"map00500"	"Prochlorococcus"	"K01835_Prochlorococcus"	2.67	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"pgm"	"K01835 _ pgm"
"comp10598_c0_seq1.1655.2728.minus.P21"	0.16	3.03	3.59	0.00535	"no"	"up"	"K01624"	"map00010"	"Prochlorococcus"	"K01624_Prochlorococcus"	3.59	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"cbbA"	"K01624 _ cbbA"
"comp10598_c0_seq1.1655.2728.minus.P21"	0.16	3.03	3.59	0.00535	"no"	"up"	"K01624"	"map00030"	"Prochlorococcus"	"K01624_Prochlorococcus"	3.59	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"cbbA"	"K01624 _ cbbA"
"comp10598_c0_seq1.1655.2728.minus.P21"	0.16	3.03	3.59	0.00535	"no"	"up"	"K01624"	"map00051"	"Prochlorococcus"	"K01624_Prochlorococcus"	3.59	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"cbbA"	"K01624 _ cbbA"
"comp8716_c1_seq1.375.859.minus.P12"	3.79	0.29	-3.3	0.00697	"no"	"down"	"K20866"	"map00010"	"Hwanghaeella"	"K20866_Hwanghaeella"	3.3	"Hydrolase"	"K20866"	"glucose-1-phosphatase [EC:3.1.3.10]"	"-"	"K20866 _ -"
"comp13533_c0_seq1.474.1501.minus.P33"	0.24	2.25	2.8	0.0111	"no"	"up"	"K03841"	"map00010"	"Psychroserpens"	"K03841_Psychroserpens"	2.8	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp13533_c0_seq1.474.1501.minus.P33"	0.24	2.25	2.8	0.0111	"no"	"up"	"K03841"	"map00030"	"Psychroserpens"	"K03841_Psychroserpens"	2.8	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp13533_c0_seq1.474.1501.minus.P33"	0.24	2.25	2.8	0.0111	"no"	"up"	"K03841"	"map00051"	"Psychroserpens"	"K03841_Psychroserpens"	2.8	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp17324_c0_seq1.401.1182.minus.P21"	0.74	5.13	2.63	0.0121	"no"	"up"	"K01803"	"map00010"	"Psychroserpens"	"K01803_Psychroserpens"	2.63	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp17324_c0_seq1.401.1182.minus.P21"	0.74	5.13	2.63	0.0121	"no"	"up"	"K01803"	"map00051"	"Psychroserpens"	"K01803_Psychroserpens"	2.63	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp8977_c0_seq1.2094.3611.plus.P51"	557.37	3846.66	2.79	0.0126	"no"	"up"	"K00138"	"map00010"	"Alteromonas"	"K00138_Alteromonas"	2.79	"Dehydrogenase"	"K00138"	"aldehyde dehydrogenase [EC:1.2.1.-]"	"-"	"K00138 _ -"
"comp8494_c0_seq1.1010.2638.plus.P23"	1.14	9.07	2.89	0.013	"no"	"up"	"K00627"	"map00010"	"Psychroserpens"	"K00627_Psychroserpens"	2.89	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"-"	"K00627 _ -"
"comp22135_c1_seq1.24.1673.plus.P21"	0.18	2.05	2.94	0.0142	"no"	"up"	"K01895"	"map00010"	"Marinobacter"	"K01895_Marinobacter"	2.94	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp13914_c17_seq1.4.468.plus.P72"	36.3	6.22	-2.53	0.0166	"no"	"down"	"K01792"	"map00010"	"Prochlorococcus"	"K01792_Prochlorococcus"	2.53	"converts alpha-aldose to the beta-anomer. It is active on D-glucose, L-arabinose, D-xylose, D-galactose, maltose and lactose (By similarity)"	"K01792"	"glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"	"galM"	"K01792 _ galM"
"comp13485_c0_seq1.1.689.minus.P53"	2.39	0.33	-2.53	0.0182	"no"	"down"	"K01895"	"map00010"	"Hwanghaeella"	"K01895_Hwanghaeella"	2.53	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp15410_c1_seq4.1511.3537.minus.P41"	15.55	119.09	2.93	0.0192	"no"	"up"	"K01895"	"map00010"	"Oceaniradius"	"K01895_Oceaniradius"	2.93	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"acs"	"K01895 _ acs"
"comp15821_c0_seq1.1.786.minus.P62"	0.38	3.23	2.8	0.0223	"no"	"up"	"K00845"	"map00010"	"Maricaulis"	"K00845_Maricaulis"	2.8	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp15821_c0_seq1.1.786.minus.P62"	0.38	3.23	2.8	0.0223	"no"	"up"	"K00845"	"map00500"	"Maricaulis"	"K00845_Maricaulis"	2.8	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp33593_c0_seq1.15095.16909.plus.P31"	62.66	402.73	2.68	0.023	"no"	"up"	"K00114"	"map00010"	"Alteromonas"	"K00114_Alteromonas"	2.68	"Dehydrogenase"	"K00114"	"alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	"-"	"K00114 _ -"
"comp48103_c0_seq1.601.1236.plus.P32"	0.12	1.68	3.02	0.0243	"no"	"up"	"K20866"	"map00010"	"Psychroserpens"	"K20866_Psychroserpens"	3.02	"Hydrolase"	"K20866"	"glucose-1-phosphatase [EC:3.1.3.10]"	"-"	"K20866 _ -"
"comp7047_c0_seq1.26.881.minus.P53"	1.6	9.97	2.56	0.0284	"no"	"up"	"K00114"	"map00010"	"Marinobacter"	"K00114_Marinobacter"	2.56	"Dehydrogenase"	"K00114"	"alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	"exaA"	"K00114 _ exaA"
"comp39571_c0_seq1.1.1146.minus.P61"	5.19	1.34	-1.88	0.0305	"no"	"down"	"K00128"	"map00010"	"Hwanghaeella"	"K00128_Hwanghaeella"	1.88	"Dehydrogenase"	"K00128"	"aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	"-"	"K00128 _ -"
"comp28162_c0_seq1.1.459.minus.P33"	0	1.8	4.25	0.0309	"no"	"up"	"K01623"	"map00010"	"Marinobacter"	"K01623_Marinobacter"	4.25	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp28162_c0_seq1.1.459.minus.P33"	0	1.8	4.25	0.0309	"no"	"up"	"K01623"	"map00030"	"Marinobacter"	"K01623_Marinobacter"	4.25	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp28162_c0_seq1.1.459.minus.P33"	0	1.8	4.25	0.0309	"no"	"up"	"K01623"	"map00051"	"Marinobacter"	"K01623_Marinobacter"	4.25	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp14823_c0_seq1.272.1738.minus.P11"	1.02	0.11	-2.41	0.0317	"no"	"down"	"K00174"	"map00010"	"Hwanghaeella"	"K00174_Hwanghaeella"	2.41	"Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)|oxidoreductase"	"K00174"	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"	"-"	"K00174 _ -"
"comp49973_c0_seq1.1.1460.minus.P32"	0.33	1.8	2.16	0.0391	"no"	"up"	"K01810"	"map00010"	"Psychroserpens"	"K01810_Psychroserpens"	2.16	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"-"	"K01810 _ -"
"comp49973_c0_seq1.1.1460.minus.P32"	0.33	1.8	2.16	0.0391	"no"	"up"	"K01810"	"map00030"	"Psychroserpens"	"K01810_Psychroserpens"	2.16	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"-"	"K01810 _ -"
"comp49973_c0_seq1.1.1460.minus.P32"	0.33	1.8	2.16	0.0391	"no"	"up"	"K01810"	"map00500"	"Psychroserpens"	"K01810_Psychroserpens"	2.16	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"-"	"K01810 _ -"
"comp64930_c0_seq1.82.1989.minus.P33"	0.24	1.46	2.18	0.0467	"no"	"up"	"K01895"	"map00010"	"Psychroserpens"	"K01895_Psychroserpens"	2.18	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp16211_c1_seq1.24328.24993.plus.P22"	0	152.92	10.58	6.47e-13	"yes"	"up"	"K00616"	"map00030"	"Tangaroavirus"	"K00616_Tangaroavirus"	10.58	"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)"	"K00616"	"transaldolase [EC:2.2.1.2]"	"fsa"	"K00616 _ fsa"
"comp7472_c2_seq1.13177.14175.plus.P11"	6233.44	232.37	-4.74	1.93e-06	"yes"	"down"	"K00616"	"map00030"	"Prochlorococcus"	"K00616_Prochlorococcus"	4.74	"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)"	"K00616"	"transaldolase [EC:2.2.1.2]"	"tal"	"K00616 _ tal"
"comp16046_c0_seq1.9879.10631.plus.P11"	1101.83	49.23	-4.48	7.76e-06	"yes"	"down"	"K01783"	"map00030"	"Prochlorococcus"	"K01783_Prochlorococcus"	4.48	"ribulose-phosphate 3-epimerase activity"	"K01783"	"ribulose-phosphate 3-epimerase [EC:5.1.3.1]"	"rpe"	"K01783 _ rpe"
"comp19986_c3_seq1.1189.2184.minus.P23"	415	26.09	-3.99	2.96e-05	"yes"	"down"	"K00948"	"map00030"	"Prochlorococcus"	"K00948_Prochlorococcus"	3.99	"Phosphoribosyl pyrophosphate synthase"	"K00948"	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	"prsA"	"K00948 _ prsA"
"comp17006_c3_seq1.292.1134.minus.P11"	237.6	14.62	-4.01	4e-05	"yes"	"down"	"K00852"	"map00030"	"Prochlorococcus"	"K00852_Prochlorococcus"	4.01	"-"	"K00852"	"ribokinase [EC:2.7.1.15]"	"-"	"K00852 _ -"
"comp17448_c8_seq1.1690.3651.plus.P11"	1624.54	108.13	-3.91	4.59e-05	"yes"	"down"	"K00615"	"map00030"	"Prochlorococcus"	"K00615_Prochlorococcus"	3.91	"Transketolase"	"K00615"	"transketolase [EC:2.2.1.1]"	"tktA"	"K00615 _ tktA"
"comp49652_c0_seq2.20189.20899.plus.P32"	715.65	50.77	-3.81	5.6e-05	"yes"	"down"	"K01807"	"map00030"	"Prochlorococcus"	"K01807_Prochlorococcus"	3.81	"phosphoriboisomerase A"	"K01807"	"ribose 5-phosphate isomerase A [EC:5.3.1.6]"	"-"	"K01807 _ -"
"comp12483_c3_seq1.1112.2635.plus.P13"	263.42	29.34	-3.16	0.00049	"yes"	"down"	"K00036"	"map00030"	"Prochlorococcus"	"K00036_Prochlorococcus"	3.16	"Glucose-6-phosphate 1-dehydrogenase"	"K00036"	"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"	"-"	"K00036 _ -"
"comp17591_c62_seq1.1291.1974.plus.P11"	79.66	8.75	-3.17	0.000565	"yes"	"down"	"K01619"	"map00030"	"Prochlorococcus"	"K01619_Prochlorococcus"	3.17	"Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)"	"K01619"	"deoxyribose-phosphate aldolase [EC:4.1.2.4]"	"deoC"	"K01619 _ deoC"
"comp30818_c0_seq1.1.487.minus.P31"	0	2.57	4.74	0.000802	"yes"	"up"	"K01619"	"map00030"	"Psychroserpens"	"K01619_Psychroserpens"	4.74	"Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)"	"K01619"	"deoxyribose-phosphate aldolase [EC:4.1.2.4]"	"-"	"K01619 _ -"
"comp20228_c4_seq1.9391.10809.plus.P12"	200	25.53	-2.97	0.00124	"yes"	"down"	"K00033"	"map00030"	"Prochlorococcus"	"K00033_Prochlorococcus"	2.97	"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)"	"K00033"	"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	"gnd"	"K00033 _ gnd"
"comp19312_c1_seq1.12.965.minus.P23"	0.11	2.66	3.71	0.002	"no"	"up"	"K00615"	"map00030"	"Psychroserpens"	"K00615_Psychroserpens"	3.71	"Transketolase"	"K00615"	"transketolase [EC:2.2.1.1]"	"-"	"K00615 _ -"
"comp20228_c4_seq1.10815.11531.plus.P12"	78.72	11.42	-2.77	0.00204	"no"	"down"	"K01057"	"map00030"	"Prochlorococcus"	"K01057_Prochlorococcus"	2.77	"Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion (By similarity)"	"K01057"	"6-phosphogluconolactonase [EC:3.1.1.31]"	"-"	"K01057 _ -"
"comp56030_c0_seq1.155.599.minus.P33"	0	2.77	4.84	0.00225	"no"	"up"	"K01808"	"map00030"	"Psychroserpens"	"K01808_Psychroserpens"	4.84	"Isomerase"	"K01808"	"ribose 5-phosphate isomerase B [EC:5.3.1.6]"	"rpiB"	"K01808 _ rpiB"
"comp56030_c0_seq1.155.599.minus.P33"	0	2.77	4.84	0.00225	"no"	"up"	"K01808"	"map00051"	"Psychroserpens"	"K01808_Psychroserpens"	4.84	"Isomerase"	"K01808"	"ribose 5-phosphate isomerase B [EC:5.3.1.6]"	"rpiB"	"K01808 _ rpiB"
"comp6786_c0_seq1.148.723.plus.P11"	0.41	9.7	4.26	0.00254	"no"	"up"	"K00851"	"map00030"	"Oceaniradius"	"K00851_Oceaniradius"	4.26	"carbohydrate kinase, thermoresistant glucokinase family"	"K00851"	"gluconokinase [EC:2.7.1.12]"	"-"	"K00851 _ -"
"comp18141_c0_seq1.39.980.plus.P21"	1.56	12.56	2.93	0.00654	"no"	"up"	"K00948"	"map00030"	"Psychroserpens"	"K00948_Psychroserpens"	2.93	"Phosphoribosyl pyrophosphate synthase"	"K00948"	"ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"	"prs"	"K00948 _ prs"
"comp82383_c0_seq1.689.1291.plus.P12"	0.76	7.69	3.18	0.0116	"no"	"up"	"K01625"	"map00030"	"Oceaniradius"	"K01625_Oceaniradius"	3.18	"Aldolase"	"K01625"	"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]"	"eda"	"K01625 _ eda"
"comp31581_c0_seq1.896.2740.minus.P31"	0.92	5.39	2.42	0.0154	"no"	"up"	"K01690"	"map00030"	"Maricaulis"	"K01690_Maricaulis"	2.42	"Dihydroxy-acid dehydratase"	"K01690"	"phosphogluconate dehydratase [EC:4.2.1.12]"	"-"	"K01690 _ -"
"comp8151_c0_seq1.490.1150.minus.P72"	1.48	11.66	2.9	0.0206	"no"	"up"	"K00616"	"map00030"	"Psychroserpens"	"K00616_Psychroserpens"	2.9	"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)"	"K00616"	"transaldolase [EC:2.2.1.2]"	"-"	"K00616 _ -"
"comp207557_c0_seq1.1.609.minus.P23"	0.13	1.86	3.12	0.0266	"no"	"up"	"K00852"	"map00030"	"Maricaulis"	"K00852_Maricaulis"	3.12	"pfkb domain protein"	"K00852"	"ribokinase [EC:2.7.1.15]"	"-"	"K00852 _ -"
"comp14158_c1_seq1.68.1039.plus.P13"	2.02	9.96	2.25	0.0434	"no"	"up"	"K00874"	"map00030"	"Oceaniradius"	"K00874_Oceaniradius"	2.25	"pfkb domain protein"	"K00874"	"2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"	"-"	"K00874 _ -"
"comp38305_c0_seq1.77.1217.minus.P31"	254.35	19.63	-3.69	0.000122	"yes"	"down"	"K01711"	"map00051"	"Prochlorococcus"	"K01711_Prochlorococcus"	3.69	"GDP-mannose 4,6-dehydratase"	"K01711"	"GDPmannose 4,6-dehydratase [EC:4.2.1.47]"	"gmd"	"K01711 _ gmd"
"comp17141_c0_seq1.12618.13796.plus.P11"	856.03	73.16	-3.55	0.000135	"yes"	"down"	"K00966"	"map00051"	"Prochlorococcus"	"K00966_Prochlorococcus"	3.55	"nucleotidyl transferase"	"K00966"	"mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	"-"	"K00966 _ -"
"comp30613_c0_seq1.1293.2309.plus.P31"	160.23	12.34	-3.69	0.000159	"yes"	"down"	"K00847"	"map00051"	"Prochlorococcus"	"K00847_Prochlorococcus"	3.69	"pfkb domain protein"	"K00847"	"fructokinase [EC:2.7.1.4]"	"-"	"K00847 _ -"
"comp30613_c0_seq1.1293.2309.plus.P31"	160.23	12.34	-3.69	0.000159	"yes"	"down"	"K00847"	"map00500"	"Prochlorococcus"	"K00847_Prochlorococcus"	3.69	"pfkb domain protein"	"K00847"	"fructokinase [EC:2.7.1.4]"	"-"	"K00847 _ -"
"comp31785_c0_seq1.696.1778.minus.P31"	0.06	2.7	4.11	0.000332	"yes"	"up"	"K00971"	"map00051"	"Psychroserpens"	"K00971_Psychroserpens"	4.11	"mannose-1-phosphate guanylyltransferase activity"	"K00971"	"mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"	"-"	"K00971 _ -"
"comp8385_c0_seq1.1.559.minus.P63"	2.36	0	-4.62	0.00134	"no"	"down"	"K02377"	"map00051"	"Hwanghaeella"	"K02377_Hwanghaeella"	4.62	"Nad-dependent epimerase dehydratase"	"K02377"	"GDP-L-fucose synthase [EC:1.1.1.271]"	"-"	"K02377 _ -"
"comp20708_c1_seq1.3876.4676.plus.P12"	48.44	6.35	-2.91	0.00147	"no"	"down"	"K07026"	"map00051"	"Prochlorococcus"	"K07026_Prochlorococcus"	2.91	"Mannosyl-3-phosphoglycerate phosphatase"	"K07026"	"mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]"	"-"	"K07026 _ -"
"comp42125_c0_seq1.1885.3273.minus.P71"	0.16	1.77	2.84	0.00492	"no"	"up"	"K01840"	"map00051"	"Psychroserpens"	"K01840_Psychroserpens"	2.84	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01840"	"phosphomannomutase [EC:5.4.2.8]"	"glmM"	"K01840 _ glmM"
"comp29012_c0_seq1.1079.1897.plus.P33"	0.17	1.53	2.58	0.0307	"no"	"up"	"K01809"	"map00051"	"Psychroserpens"	"K01809_Psychroserpens"	2.58	"mannose-6-phosphate isomerase"	"K01809"	"mannose-6-phosphate isomerase [EC:5.3.1.8]"	"-"	"K01809 _ -"
"comp131982_c0_seq1.19.678.plus.P12"	2.76	0.55	-2.14	0.0448	"no"	"down"	"K01840"	"map00051"	"Hwanghaeella"	"K01840_Hwanghaeella"	2.14	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01840"	"phosphomannomutase [EC:5.4.2.8]"	"exoC"	"K01840 _ exoC"
"comp21230_c0_seq1.21185.22174.plus.P21"	220.31	11.32	-4.27	1.1e-05	"yes"	"down"	"K23094"	"map00130"	"Prochlorococcus"	"K23094_Prochlorococcus"	4.27	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	"K23094"	"2-carboxy-1,4-naphthoquinone phytyltransferase [EC:2.5.1.130]"	"menA"	"K23094 _ menA"
