seq_id	P5_mean_fpkm	P3_mean_fpkm	logFC.P3.P5.	p.value	significant	regulate	KO	Pathway	g	KO_g
comp21230_c0_seq1.22194.23165.plus.P21	84.99	10.86	-2.96	0.00204	no	down	K02549	"map00130,map01100,map01110,map01240"	Prochlorococcus	K02549_Prochlorococcus
comp19841_c0_seq1.10622.11734.plus.P23	24.16	3.15	-2.9	0.00318	no	down	K03185	"map00130,map01100,map01110,map01240"	Prochlorococcus	K03185_Prochlorococcus
comp30349_c0_seq1.229.664.minus.P31	0.49	7.92	3.76	0.00348	no	up	K19222	"map00130,map01100,map01110,map01240"	Psychroserpens	K19222_Psychroserpens
comp16019_c1_seq1.10050.10502.plus.P11	42.66	6.5	-2.7	0.00351	no	down	K12073	"map00130,map01100,map01110,map01240"	Prochlorococcus	K12073_Prochlorococcus
comp17608_c80_seq1.1554.2765.plus.P11	159.01	25.12	-2.66	0.00422	no	down	K17872	"map00130,map01100,map01110,map01240"	Prochlorococcus	K17872_Prochlorococcus
comp48862_c0_seq1.222.1061.minus.P31	0.68	6.84	3.16	0.00638	no	up	K01661	"map00130,map01100,map01110,map01240"	Psychroserpens	K01661_Psychroserpens
comp43529_c0_seq1.829.1666.minus.P33	0.25	2.72	3.02	0.00662	no	up	K02361	"map00130,map01053,map01100,map01110"	Psychroserpens	K02361_Psychroserpens
comp334756_c0_seq1.1.477.minus.P61	1.16	0.05	-3.11	0.0162	no	down	K03182	"map00130,map01100,map01110,map01240"	Hwanghaeella	K03182_Hwanghaeella
comp9809_c0_seq1.113.1177.minus.P21	0.37	2.89	2.67	0.0208	no	up	K01911	"map00130,map01100,map01110,map01240"	Psychroserpens	K01911_Psychroserpens
comp9875_c0_seq1.1.736.minus.P42	0.73	0	-3.06	0.0353	no	down	K03179	"map00130,map01100,map01110,map01240"	Marinobacter	K03179_Marinobacter
comp19242_c2_seq1.1436.2134.plus.P61	0.21	14.12	5.5	1.91E-06	yes	up	K01838	map00500	Psychroserpens	K01838_Psychroserpens
comp20228_c4_seq1.7936.9231.plus.P12	971.29	42.82	-4.5	6.40E-06	yes	down	K00975	"map00500,map00520,map01100,map01110,map01250,map02026"	Prochlorococcus	K00975_Prochlorococcus
comp17591_c109_seq1.903.2366.plus.P11	438.06	28.42	-3.94	3.09E-05	yes	down	K00703	"map00500,map01100,map01110,map02026"	Prochlorococcus	K00703_Prochlorococcus
comp17591_c118_seq1.2217.4484.minus.P11	533.53	36.63	-3.86	4.53E-05	yes	down	K00700	"map00500,map01100,map01110"	Prochlorococcus	K00700_Prochlorococcus
comp49021_c0_seq1.93.1298.minus.P32	0	1.64	4.12	4.81E-05	yes	up	K16148	"map00500,map01100"	Psychroserpens	K16148_Psychroserpens
comp12483_c3_seq1.14119.15684.plus.P13	150.17	13.87	-3.43	0.000225	yes	down	K16149	"map00500,map01100,map01110"	Prochlorococcus	K16149_Prochlorococcus
comp59402_c0_seq1.34.852.minus.P62	2.25	54.72	4.54	0.000261	yes	up	K00703	"map00500,map01100,map01110,map02026"	Psychroserpens	K00703_Psychroserpens
comp17006_c4_seq1.4013.5509.plus.P11	301.15	30.54	-3.3	0.000299	yes	down	K00705	"map00500,map01100,map01110"	Prochlorococcus	K00705_Prochlorococcus
comp13469_c1_seq1.4544.6295.plus.P13	169.57	17.54	-3.27	0.000379	yes	down	K00690	"map00500,map01100"	Prochlorococcus	K00690_Prochlorococcus
comp15281_c3_seq1.5338.7857.plus.P31	352.39	38.16	-3.2	0.000408	yes	down	K00688	"map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931"	Prochlorococcus	K00688_Prochlorococcus
comp14199_c0_seq1.87.1298.plus.P13	4.26	0.33	-3.35	0.000435	yes	down	K00692	"map00500,map01100,map02020"	Erythrobacter	K00692_Erythrobacter
comp21693_c0_seq1.3378.5728.minus.P71	1.11	13.14	3.45	0.00161	no	up	K00691	"map00500,map01100"	Psychroserpens	K00691_Psychroserpens
comp43153_c0_seq1.1.1237.minus.P32	0.28	3.63	3.28	0.00312	no	up	K00700	"map00500,map01100,map01110"	Psychroserpens	K00700_Psychroserpens
comp18696_c0_seq1.35.2107.minus.P33	75.28	11.66	-2.68	0.00343	no	down	K01214	"map00500,map01100,map01110"	Prochlorococcus	K01214_Prochlorococcus
comp25873_c0_seq1.113.1417.plus.P31	0.38	5.5	3.55	0.00406	no	up	K16146	"map00500,map01100"	Psychroserpens	K16146_Psychroserpens
comp19009_c0_seq1.75.1020.minus.P21	0	0.91	3.33	0.00461	no	up	K01176	"map00500,map01100,map01110,map04970,map04972,map04973"	Psychroserpens	K01176_Psychroserpens
comp27236_c1_seq1.74.1130.minus.P33	0.07	2	3.6	0.00472	no	up	K01187	"map00052,map00500,map01100,map01110"	Maricaulis	K01187_Maricaulis
comp17547_c0_seq1.1.1048.minus.P33	0.09	1.81	3.34	0.00771	no	up	K21574	"map00500,map01100"	Psychroserpens	K21574_Psychroserpens
comp98389_c0_seq1.1.630.minus.P73	0	1.04	3.51	0.00999	no	up	K05349	"map00460,map00500,map00999,map01100,map01110"	Maricaulis	K05349_Maricaulis
comp43133_c1_seq1.1.866.minus.P32	0.2	2.2	2.95	0.0108	no	up	K01210	"map00500,map01100"	Psychroserpens	K01210_Psychroserpens
comp53503_c0_seq1.1.1094.minus.P33	0.26	2.07	2.59	0.0166	no	up	K01179	"map00500,map01100,map02020"	Maricaulis	K01179_Maricaulis
comp14920_c0_seq1.223.2160.minus.P31	0.66	9.39	3.64	0.0227	no	up	K16147	"map00500,map01100"	Psychroserpens	K16147_Psychroserpens
comp11574_c0_seq1.5350.7494.plus.P53	18.15	97.35	2.42	0.0248	no	up	K00694	"map00500,map01100,map02026"	Alteromonas	K00694_Alteromonas
comp19492_c1_seq1.1.706.minus.P21	0	0.6	2.8	0.032	no	up	K00688	"map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931"	Marinobacter	K00688_Marinobacter
comp33598_c1_seq1.6906.8243.plus.P31	17.55	90.39	2.36	0.0368	no	up	K05350	"map00460,map00500,map00999,map01100,map01110"	Alteromonas	K05350_Alteromonas
comp16273_c1_seq1.1.681.minus.P73	0.22	93.62	8.18	1.41E-08	yes	up	K10914	"map02020,map02024,map02025,map02026,map05111"	Psychroserpens	K10914_Psychroserpens
comp7459_c0_seq1.9052.9294.plus.P11	1772.97	67.13	-4.72	3.75E-06	yes	down	K03073	"map02024,map03060,map03070"	Prochlorococcus	K03073_Prochlorococcus
comp18549_c0_seq1.2855.4828.plus.P23	269.67	17.18	-3.96	5.35E-05	yes	down	K01897	"map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	Prochlorococcus	K01897_Prochlorococcus
comp20628_c31_seq1.146.2979.minus.P12	602.53	44.38	-3.76	6.46E-05	yes	down	K03070	"map02024,map03060,map03070"	Prochlorococcus	K03070_Prochlorococcus
comp28722_c1_seq1.156.1679.plus.P33	0.06	2.85	4.2	6.84E-05	yes	up	K02032	map02024	Psychroserpens	K02032_Psychroserpens
comp12929_c0_seq1.6.1781.plus.P33	0.11	3.42	4.09	7.65E-05	yes	up	K01897	"map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	Psychroserpens	K01897_Psychroserpens
comp17608_c61_seq1.77.1540.plus.P11	460.94	37.7	-3.61	0.000127	yes	down	K03106	"map02024,map03060,map03070"	Prochlorococcus	K03106_Prochlorococcus
comp30477_c0_seq2.243.2150.plus.P31	0.36	6.75	3.9	0.000137	yes	up	K03217	"map02024,map03060,map03070"	Psychroserpens	K03217_Psychroserpens
comp22061_c0_seq2.74.3808.minus.P71	0.17	2.96	3.5	0.000154	yes	up	K20276	map02024	Psychroserpens	K20276_Psychroserpens
comp14134_c0_seq1.80.466.plus.P11	61.09	4.1	-3.87	0.000162	yes	down	K11530	map02024	Prochlorococcus	K11530_Prochlorococcus
comp32591_c0_seq1.203.3556.minus.P31	0.44	6.54	3.62	0.000165	yes	up	K03070	"map02024,map03060,map03070"	Psychroserpens	K03070_Psychroserpens
comp30279_c0_seq2.301.6846.plus.P33	0.26	4.54	3.68	0.000166	yes	up	K20276	map02024	Formosa	K20276_Formosa
comp6003_c1_seq1.10392.11540.plus.P13	2245.08	203.89	-3.46	0.000208	yes	down	K03217	"map02024,map03060,map03070"	Prochlorococcus	K03217_Prochlorococcus
comp7458_c1_seq1.20910.21956.plus.P11	310.61	28.02	-3.47	0.000261	yes	down	K01626	"map00400,map01100,map01110,map01230,map02024"	Prochlorococcus	K01626_Prochlorococcus
comp16966_c5_seq1.19874.21193.plus.P11	368.8	38.26	-3.27	0.000379	yes	down	K03076	"map02024,map03060,map03070"	Prochlorococcus	K03076_Prochlorococcus
comp7178_c0_seq1.8.1213.minus.P11	0.17	4.39	4.03	0.000477	yes	up	K01999	"map02010,map02024"	Marinobacter	K01999_Marinobacter
comp10313_c0_seq1.15724.17301.plus.P42	45.97	4.86	-3.21	0.000513	yes	down	K02035	map02024	Prochlorococcus	K02035_Prochlorococcus
comp16966_c4_seq1.10118.11638.plus.P11	268.4	31.4	-3.09	0.000687	yes	down	K01657	"map00400,map00405,map01100,map01110,map01230,map02024,map02025"	Prochlorococcus	K01657_Prochlorococcus
comp19552_c2_seq1.339.1340.minus.P71	0.04	2.11	4.01	0.000795	yes	up	K02033	map02024	Psychroserpens	K02033_Psychroserpens
comp16019_c0_seq1.4580.6184.plus.P11	73.89	8.84	-3.05	0.000911	yes	down	K02032	map02024	Prochlorococcus	K02032_Prochlorococcus
comp84748_c0_seq1.1.498.minus.P51	2.33	0	-4.6	0.00103	yes	down	K01897	"map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	Hwanghaeella	K01897_Hwanghaeella
comp22629_c0_seq4.12364.13716.plus.P21	0.34	4.26	3.32	0.00152	no	up	K03076	"map02024,map03060,map03070"	Psychroserpens	K03076_Psychroserpens
comp14324_c25_seq1.1065.2159.plus.P13	208	27.19	-2.93	0.00158	no	down	K11752	"map00740,map01100,map01110,map01240,map02024"	Prochlorococcus	K11752_Prochlorococcus
comp34524_c0_seq1.2556.2786.plus.P31	126.27	13.93	-3.17	0.00171	no	down	K03075	"map02024,map03060,map03070"	Prochlorococcus	K03075_Prochlorococcus
comp50064_c0_seq2.112.1095.plus.P32	0	1.1	3.59	0.00185	no	up	K02035	map02024	Psychroserpens	K02035_Psychroserpens
comp31656_c0_seq1.249.764.plus.P31	0	1.87	4.3	0.00204	no	up	K01658	"map00400,map00405,map01100,map01110,map01230,map02024,map02025"	Psychroserpens	K01658_Psychroserpens
comp17591_c101_seq1.86.844.minus.P11	82.26	11.4	-2.84	0.00251	no	down	K02034	map02024	Prochlorococcus	K02034_Prochlorococcus
comp15349_c0_seq1.57.1397.plus.P33	0.12	2.18	3.37	0.00274	no	up	K01657	"map00400,map00405,map01100,map01110,map01230,map02024,map02025"	Psychroserpens	K01657_Psychroserpens
comp9128_c0_seq1.810.1784.plus.P21	0.34	4.46	3.36	0.00391	no	up	K03110	"map02024,map03060,map03070"	Psychroserpens	K03110_Psychroserpens
comp181986_c0_seq1.1.618.minus.P12	3.19	0.13	-3.85	0.0041	no	down	K03106	"map02024,map03060,map03070"	Altererythrobacter	K03106_Altererythrobacter
comp16763_c3_seq1.1367.2719.plus.P52	4.31	0.43	-3.06	0.00454	no	down	K03076	"map02024,map03060,map03070"	Oceaniradius	K03076_Oceaniradius
comp12483_c5_seq1.1209.2231.plus.P13	18.98	2.9	-2.67	0.00619	no	down	K02033	map02024	Prochlorococcus	K02033_Prochlorococcus
comp35838_c0_seq1.951.2285.minus.P61	0.81	6.88	2.95	0.00747	no	up	K03106	"map02024,map03060,map03070"	Psychroserpens	K03106_Psychroserpens
comp209209_c0_seq1.61.348.minus.P11	4.38	0.23	-3.77	0.0102	no	down	K03210	"map02024,map03060,map03070"	Thalassospira	K03210_Thalassospira
comp22946_c0_seq1.38.439.plus.P11	0.11	4.12	4.33	0.0112	no	up	K01999	"map02010,map02024"	Oceaniradius	K01999_Oceaniradius
comp28556_c1_seq1.368.989.minus.P33	2.14	0.16	-3.13	0.0117	no	down	K01998	"map02010,map02024"	Oceaniradius	K01998_Oceaniradius
comp6724_c0_seq1.1.710.minus.P12	3.61	0.36	-3.02	0.0128	no	down	K19731	map02024	Altererythrobacter	K19731_Altererythrobacter
comp33554_c11_seq1.196.17460.plus.P31	12.47	80.55	2.68	0.0153	no	up	K20276	map02024	Alteromonas	K20276_Alteromonas
comp87793_c0_seq1.12.761.minus.P11	0.79	7.09	3.01	0.0174	no	up	K01995	"map02010,map02024"	Oceaniradius	K01995_Oceaniradius
comp50187_c10_seq1.11709.12626.plus.P32	0.19	2.27	3.03	0.0183	no	up	K02033	map02024	Oceaniradius	K02033_Oceaniradius
comp50652_c0_seq1.42.641.plus.P11	2.01	0.18	-2.93	0.0196	no	down	K01658	"map00400,map00405,map01100,map01110,map01230,map02024,map02025"	Hwanghaeella	K01658_Hwanghaeella
comp151570_c0_seq1.1.566.minus.P63	0.9	0	-3.32	0.0197	no	down	K01997	"map02010,map02024"	Hwanghaeella	K01997_Hwanghaeella
comp181045_c0_seq1.1.444.minus.P52	1.44	0	-3.95	0.0198	no	down	K10914	"map02020,map02024,map02025,map02026,map05111"	Hwanghaeella	K10914_Hwanghaeella
comp65119_c0_seq1.1.567.minus.P53	2.27	0.25	-2.77	0.0211	no	down	K01657	"map00400,map00405,map01100,map01110,map01230,map02024,map02025"	Hwanghaeella	K01657_Hwanghaeella
comp16730_c0_seq2.1.2141.minus.P42	0.9	0.04	-2.87	0.0234	no	down	K03070	"map02024,map03060,map03070"	Hwanghaeella	K03070_Hwanghaeella
comp13242_c0_seq1.1.406.minus.P52	3.48	0.19	-3.61	0.0243	no	down	K07667	"map02020,map02024"	Hwanghaeella	K07667_Hwanghaeella
comp49770_c0_seq1.1553.2473.plus.P32	0.38	3.02	2.7	0.0249	no	up	K01997	"map02010,map02024"	Oceaniradius	K01997_Oceaniradius
comp11182_c0_seq1.1.544.minus.P33	0	0.95	3.39	0.0263	no	up	K11752	"map00740,map01100,map01110,map01240,map02024"	Psychroserpens	K11752_Psychroserpens
comp21223_c0_seq2.18.1449.minus.P51	4.3	0.59	-2.67	0.0264	no	down	K01999	"map02010,map02024"	Thalassospira	K01999_Thalassospira
comp16515_c0_seq1.1.681.minus.P63	1.71	0.22	-2.51	0.0286	no	down	K20276	map02024	Hwanghaeella	K20276_Hwanghaeella
comp13829_c0_seq1.285.551.plus.P72	0	2.3	4.58	0.029	no	up	K03073	"map02024,map03060,map03070"	Psychroserpens	K03073_Psychroserpens
comp8491_c0_seq1.261.1496.plus.P12	5.22	1.31	-1.91	0.0292	no	down	K01999	"map02010,map02024"	Hwanghaeella	K01999_Hwanghaeella
comp20534_c0_seq1.1.1976.minus.P71	0.17	1.49	2.55	0.0341	no	up	K12257	"map02024,map03060,map03070"	Psychroserpens	K12257_Psychroserpens
comp13344_c0_seq1.3689.5008.plus.P33	1.43	8.94	2.56	0.0348	no	up	K07645	"map02020,map02024"	Alteromonas	K07645_Alteromonas
comp7574_c0_seq1.1.583.minus.P71	2.17	0.27	-2.62	0.0352	no	down	K02055	map02024	Thalassospira	K02055_Thalassospira
comp29907_c0_seq4.6247.6936.plus.P33	0.91	6.74	2.76	0.0361	no	up	K10914	"map02020,map02024,map02025,map02026,map05111"	Oceaniradius	K10914_Oceaniradius
comp13176_c1_seq1.53.406.plus.P61	1.44	0	-3.94	0.038	no	down	K02034	map02024	Hwanghaeella	K02034_Hwanghaeella
comp223314_c0_seq1.1.317.minus.P73	1.84	0	-4.28	0.0402	no	down	K02032	map02024	Hwanghaeella	K02032_Hwanghaeella
comp33011_c5_seq1.65.736.plus.P31	15.31	65.37	2.09	0.0414	no	up	K10914	"map02020,map02024,map02025,map02026,map05111"	Alteromonas	K10914_Alteromonas
comp50146_c4_seq1.3474.4133.plus.P32	0.58	3.67	2.48	0.0435	no	up	K01996	"map02010,map02024"	Oceaniradius	K01996_Oceaniradius
comp16674_c0_seq1.1500.2678.plus.P52	30.58	129.97	2.08	0.0486	no	up	K01999	"map02010,map02024"	Alteromonas	K01999_Alteromonas
comp16749_c0_seq2.8736.10415.plus.P31	48.84	202.65	2.05	0.0489	no	up	K01897	"map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	Alteromonas	K01897_Alteromonas
comp67475_c0_seq1.7.1113.minus.P21	5.74	1.5	-1.87	0.0492	no	down	K02055	map02024	Hwanghaeella	K02055_Hwanghaeella
comp34634_c0_seq1.744.2318.minus.P31	0.44	55.41	6.68	4.23E-08	yes	up	K07636	map02020	Psychroserpens	K07636_Psychroserpens
comp31913_c0_seq1.94.723.plus.P21	0.67	48.28	5.98	3.21E-07	yes	up	K07689	"map02020,map02025,map02026,map05111"	Psychroserpens	K07689_Psychroserpens
comp37866_c0_seq1.404.1809.minus.P33	0	3.27	5.07	4.13E-07	yes	up	K02106	map02020	Psychroserpens	K02106_Psychroserpens
comp17532_c9_seq1.999.1337.plus.P11	1688.9	59.41	-4.83	1.50E-06	yes	down	K04751	map02020	Prochlorococcus	K04751_Prochlorococcus
comp37625_c0_seq1.567.1463.plus.P31	0.24	20.14	5.89	5.30E-06	yes	up	K07165	map02020	Psychroserpens	K07165_Psychroserpens
comp16345_c0_seq1.237.1484.plus.P11	216.37	10.78	-4.31	9.42E-06	yes	down	K01991	"map02020,map02026"	Prochlorococcus	K01991_Prochlorococcus
comp21585_c0_seq1.6810.7781.plus.P51	498.26	24.22	-4.36	9.53E-06	yes	down	K02040	"map02010,map02020,map05152"	Prochlorococcus	K02040_Prochlorococcus
comp14169_c0_seq1.5629.7050.plus.P11	1055.71	56.28	-4.23	1.24E-05	yes	down	K01915	"map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727"	Prochlorococcus	K01915_Prochlorococcus
comp16168_c0_seq2.96.1307.minus.P11	79.04	4.42	-4.13	2.18E-05	yes	down	K02472	"map00520,map00541,map01100,map01250,map02020,map05111"	Prochlorococcus	K02472_Prochlorococcus
comp14295_c37_seq1.4910.5836.plus.P13	1305.5	74.06	-4.14	2.37E-05	yes	down	K02259	"map00190,map00860,map01100,map01110,map01240,map02020,map04714"	Prochlorococcus	K02259_Prochlorococcus
comp18530_c1_seq1.488.1303.plus.P71	0	3.08	4.99	2.41E-05	yes	up	K01991	"map02020,map02026"	Psychroserpens	K01991_Psychroserpens
comp17141_c5_seq1.16946.17692.plus.P11	872.98	54.15	-4.01	3.71E-05	yes	down	K11329	map02020	Prochlorococcus	K11329_Prochlorococcus
comp28901_c1_seq1.1.2329.minus.P33	0.11	4.08	4.32	6.59E-05	yes	up	K12340	"map01501,map01503,map02020,map03070,map04626,map05133"	Psychroserpens	K12340_Psychroserpens
comp69987_c0_seq1.1.708.minus.P53	3.19	0	-5.04	6.79E-05	yes	down	K04771	"map01503,map02020"	Altererythrobacter	K04771_Altererythrobacter
comp75195_c0_seq1.1.1277.minus.P32	0	1.73	4.19	7.05E-05	yes	up	K15862	"map00190,map01100,map02020"	Psychroserpens	K15862_Psychroserpens
comp17951_c34_seq1.790.1614.minus.P43	155.08	11.6	-3.73	8.80E-05	yes	down	K11601	"map02010,map02020"	Prochlorococcus	K11601_Prochlorococcus
comp22710_c10_seq1.165.1565.plus.P21	284.83	22.26	-3.67	9.11E-05	yes	down	K02313	"map02020,map04112"	Prochlorococcus	K02313_Prochlorococcus
comp17141_c5_seq1.10041.10838.plus.P11	2781.23	215.75	-3.69	0.00011	yes	down	K10697	map02020	Prochlorococcus	K10697_Prochlorococcus
comp16966_c3_seq1.895.1368.plus.P11	285.31	19.99	-3.83	0.000126	yes	down	K25307	map02020	Prochlorococcus	K25307_Prochlorococcus
comp20228_c0_seq1.7347.8102.plus.P12	151.39	13.81	-3.44	0.000221	yes	down	K08641	"map01502,map02020"	Prochlorococcus	K08641_Prochlorococcus
comp14721_c0_seq1.830.1567.plus.P21	106.84	9.82	-3.43	0.000266	yes	down	K07657	map02020	Prochlorococcus	K07657_Prochlorococcus
comp29377_c1_seq1.1.901.minus.P33	0.12	4.23	4.28	0.000274	yes	up	K16692	map02020	Psychroserpens	K16692_Psychroserpens
comp9005_c0_seq1.5306.6463.plus.P51	135.85	13.71	-3.3	0.00032	yes	down	K08479	map02020	Prochlorococcus	K08479_Prochlorococcus
comp20228_c0_seq1.14024.14734.plus.P12	54.18	5.19	-3.36	0.000326	yes	down	K07260	"map00550,map01100,map01502,map02020"	Prochlorococcus	K07260_Prochlorococcus
comp27861_c0_seq1.1300.2637.plus.P33	0.05	2.13	3.9	0.000378	yes	up	K00626	"map00071,map00280,map00310,map00362,map00380,map00620,map00630,map00650,map00720,map00900,map01100,map01110,map01120,map01200,map01212,map02020,map04975"	Marinobacter	K00626_Marinobacter
comp21224_c0_seq1.143.1570.plus.P21	0.22	4.08	3.68	0.000479	yes	up	K02313	"map02020,map04112"	Psychroserpens	K02313_Psychroserpens
comp5538_c0_seq1.405.1034.minus.P11	2.1	0	-4.46	0.000659	yes	down	K03406	"map02020,map02030"	Erythrobacter	K03406_Erythrobacter
comp14835_c0_seq1.729.1907.minus.P31	1.42	18.89	3.65	0.000764	yes	up	K00626	"map00071,map00280,map00310,map00362,map00380,map00620,map00630,map00650,map00720,map00900,map01100,map01110,map01120,map01200,map01212,map02020,map04975"	Psychroserpens	K00626_Psychroserpens
comp14219_c0_seq1.43.726.plus.P71	0.17	4.17	3.99	0.000864	yes	up	K07658	map02020	Psychroserpens	K07658_Psychroserpens
comp14721_c0_seq1.1577.2710.plus.P21	25.05	2.78	-3.13	0.000979	yes	down	K07636	map02020	Prochlorococcus	K07636_Prochlorococcus
comp29801_c0_seq1.15151.15942.plus.P33	35.51	4.03	-3.11	0.001	yes	down	K11602	"map02010,map02020"	Prochlorococcus	K11602_Prochlorococcus
comp17591_c61_seq1.1021.1818.plus.P11	145.85	16.56	-3.13	0.00112	yes	down	K11603	"map02010,map02020"	Prochlorococcus	K11603_Prochlorococcus
comp5990_c1_seq1.23.1135.plus.P13	62.38	7.78	-2.99	0.00117	yes	down	K01791	"map00520,map00541,map01100,map01250,map02020,map05111"	Prochlorococcus	K01791_Prochlorococcus
comp12724_c0_seq1.3669.5434.minus.P33	0.27	3.78	3.4	0.00117	yes	up	K03406	"map02020,map02030"	Alteromonas	K03406_Alteromonas
comp17117_c1_seq1.17774.19843.plus.P11	245.6	33.73	-2.86	0.00134	no	down	K07769	map02020	Prochlorococcus	K07769_Prochlorococcus
comp43250_c1_seq1.183.938.minus.P32	0.05	2.18	3.95	0.002	no	up	K07705	map02020	Psychroserpens	K07705_Psychroserpens
comp138836_c0_seq1.1.488.minus.P21	0.4	13.94	4.81	0.00217	no	up	K02259	"map00190,map00860,map01100,map01110,map01240,map02020,map04714"	Psychroserpens	K02259_Psychroserpens
comp19653_c0_seq1.184.1275.minus.P12	0.9	0	-3.32	0.00247	no	down	K18353	"map01502,map02020"	Maricaulis	K18353_Maricaulis
comp53194_c0_seq1.1.473.minus.P11	1.99	0	-4.39	0.00263	no	down	K01644	map02020	Hwanghaeella	K01644_Hwanghaeella
comp47081_c0_seq1.1.843.minus.P32	0	1.14	3.63	0.00286	no	up	K00406	"map00190,map01100,map02020"	Psychroserpens	K00406_Psychroserpens
comp50174_c0_seq1.219.902.minus.P32	0.43	6.52	3.65	0.00333	no	up	K08641	"map01502,map02020"	Psychroserpens	K08641_Psychroserpens
comp48825_c0_seq1.98.1249.plus.P32	0.2	3.62	3.63	0.0037	no	up	K01791	"map00520,map00541,map01100,map01250,map02020,map05111"	Psychroserpens	K01791_Psychroserpens
comp49536_c3_seq1.1.1138.minus.P32	0.09	1.92	3.42	0.00424	no	up	K13532	map02020	Psychroserpens	K13532_Psychroserpens
comp17073_c0_seq1.1.378.minus.P11	0	3.21	5.05	0.00426	no	up	K11690	map02020	Marinobacter	K11690_Marinobacter
comp26259_c0_seq1.1.924.minus.P33	0.08	1.72	3.37	0.00491	no	up	K01915	"map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727"	Psychroserpens	K01915_Psychroserpens
comp50285_c0_seq1.1606.3153.plus.P32	0.74	6.72	3.02	0.0058	no	up	K03408	"map02020,map02030"	Alteromonas	K03408_Alteromonas
comp88681_c0_seq1.1.728.minus.P31	0.1	1.71	3.17	0.00731	no	up	K07682	map02020	Maricaulis	K07682_Maricaulis
comp42426_c0_seq1.1.732.minus.P43	0	0.88	3.29	0.00781	no	up	K03406	"map02020,map02030"	Marinobacter	K03406_Marinobacter
comp15445_c0_seq1.1.781.minus.P63	2.48	0.13	-3.5	0.00836	no	down	K02040	"map02010,map02020,map05152"	Thalassospira	K02040_Thalassospira
comp30703_c0_seq1.12033.12338.plus.P31	77.64	425.18	2.45	0.00838	no	up	K20978	"map02020,map02025"	Alteromonas	K20978_Alteromonas
comp30365_c1_seq1.1.5089.minus.P33	0.02	0.63	2.62	0.00991	no	up	K06596	"map02020,map02025"	Marinobacter	K06596_Marinobacter
comp72229_c0_seq1.196.777.minus.P12	4.2	0.68	-2.46	0.013	no	down	K15012	map02020	Hwanghaeella	K15012_Hwanghaeella
comp19143_c1_seq1.1.521.minus.P51	7.01	1.19	-2.46	0.0133	no	down	K07794	map02020	Oceaniradius	K07794_Oceaniradius
comp17617_c2_seq1.355.1038.plus.P12	0.22	5.16	4.04	0.0138	no	up	K07774	map02020	Oceaniradius	K07774_Oceaniradius
comp41005_c1_seq1.37.879.plus.P32	0.09	1.41	3.01	0.0144	no	up	K07778	map02020	Maricaulis	K07778_Maricaulis
comp29405_c0_seq1.77.1318.plus.P33	0.4	5.22	3.4	0.0157	no	up	K10125	map02020	Oceaniradius	K10125_Oceaniradius
comp8654_c0_seq1.627.1896.minus.P61	73.75	481.02	2.7	0.0165	no	up	K07675	map02020	Alteromonas	K07675_Alteromonas
comp33074_c1_seq1.11805.13766.plus.P31	10.82	53.04	2.28	0.0195	no	up	K03407	"map02020,map02030"	Alteromonas	K03407_Alteromonas
comp23149_c0_seq1.156.956.minus.P51	40.13	199.99	2.31	0.0201	no	up	K03413	"map02020,map02030"	Alteromonas	K03413_Alteromonas
comp46734_c0_seq1.1.561.minus.P41	2.11	0.23	-2.75	0.0203	no	down	K00626	"map00071,map00280,map00310,map00362,map00380,map00620,map00630,map00650,map00720,map00900,map01100,map01110,map01120,map01200,map01212,map02020,map04975"	Hwanghaeella	K00626_Hwanghaeella
comp33383_c5_seq1.1945.4458.minus.P31	11.52	70.59	2.6	0.0207	no	up	K20975	"map02020,map02025"	Alteromonas	K20975_Alteromonas
comp28052_c0_seq1.836.2230.minus.P12	2.43	11.19	2.16	0.0213	no	up	K12340	"map01501,map01503,map02020,map03070,map04626,map05133"	Maricaulis	K12340_Maricaulis
comp12653_c0_seq1.1.417.minus.P41	0	1.32	3.82	0.0215	no	up	K03776	"map02020,map02030"	Marinobacter	K03776_Marinobacter
comp64063_c0_seq1.9.775.minus.P51	3.17	0.35	-2.88	0.0219	no	down	K00575	"map02020,map02030"	Hwanghaeella	K00575_Hwanghaeella
comp92899_c0_seq1.1.417.minus.P13	1.26	0	-3.76	0.0231	no	down	K03412	"map02020,map02030"	Hwanghaeella	K03412_Hwanghaeella
comp33337_c21_seq1.2439.3368.plus.P31	111.77	525.1	2.23	0.0242	no	up	K03415	"map02020,map02030"	Alteromonas	K03415_Alteromonas
comp55181_c0_seq1.102.521.minus.P12	3.09	0.35	-2.83	0.0246	no	down	K03413	"map02020,map02030"	Hwanghaeella	K03413_Hwanghaeella
