GID	P1_vs_P2	P1_vs_P3	P1_vs_P4	P1_vs_P5	P1_vs_P6	P2_vs_P3	P2_vs_P4	P2_vs_P5	P2_vs_P6	P2_vs_P7	P3_vs_P4	P3_vs_P5	P3_vs_P6	P3_vs_P7	P4_vs_P5	P4_vs_P6	P5_vs_P6	Gene_Symbol	gene_name
EZ55_4_199	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	Bacterial protein of unknown function (DUF945)	-
EZ55_43_7	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	This enzyme acetylates the N-terminal alanine of ribosomal protein S18	rimI
EZ55_59_8	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	up	NAD-dependent lysine deacetylase and desuccinylase that specifically removes acetyl and succinyl groups on target proteins. Modulates the activities of several proteins which are inactive in their acylated form	cobB
EZ55_42_6	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Belongs to the histone-like protein H-NS family	hns
EZ55_60_66	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	COG0642 Signal transduction histidine kinase	prsK
EZ55_17_43	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	NA	NA
EZ55_13_37	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	EamA-like transporter family	ywfM
EZ55_43_22	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Putative 2OG-Fe(II) oxygenase	-
EZ55_13_15	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	pstB
EZ55_42_38	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Domain of unknown function (DUF3291)	-
EZ55_28_31	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Putative diguanylate phosphodiesterase	-
EZ55_14_39	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	NA	Outer membrane protein beta-barrel domain	-
EZ55_2_15	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane	-
EZ55_60_218	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"COG2204 Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains"	glnG
EZ55_6_23	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"molybdenum ABC transporter, periplasmic"	modA
EZ55_7_3	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Diguanylate cyclase phosphodiesterase with PAS PAC sensor(S)	-
EZ55_2_136	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Platelet-activating factor acetylhydrolase, isoform II"	-
EZ55_47_14	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	protein containing a von Willebrand factor type A (vWA) domain	batA
EZ55_17_48	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG2148 Sugar transferases involved in lipopolysaccharide synthesis	lthA
EZ55_17_59	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Glycosyl transferases group 1	-
EZ55_18_181	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	COG0517 FOG CBS domain	-
EZ55_42_59	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	up	COG0534 Na -driven multidrug efflux pump	mdtK
EZ55_17_55	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Polysaccharide pyruvyl transferase	-
EZ55_70_76	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG1607 Acyl-CoA hydrolase	vdlD
EZ55_21_96	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Threonine dehydratase	tdcB
EZ55_59_7	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	Lysine exporter protein (LysE YggA)	-
EZ55_3_13	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	NA	NA
EZ55_40_14	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	down	up	NA	down	down	MotA/TolQ/ExbB proton channel family	-
EZ55_52_28	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Alpha beta hydrolase	-
EZ55_2_83	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	"COG0123 Deacetylases, including yeast histone deacetylase and acetoin utilization protein"	-
EZ55_20_41	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	up	Na H antiporter	nhaC
EZ55_1_24	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Intracellular protease	pfpI
EZ55_18_190	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Long-chain fatty acid	fadL
EZ55_21_121	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Mechanosensitive ion channel	-
EZ55_40_18	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	down	up	NA	down	down	Parallel beta-helix repeats	-
EZ55_15_89	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	NA	"Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis"	cheD
EZ55_21_67	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG1609 Transcriptional regulators	gntR
EZ55_13_38	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	TonB dependent receptor	-
EZ55_60_22	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	cheY-homologous receiver domain	-
EZ55_18_2	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_21_120	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_18_50	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG0346 Lactoylglutathione lyase and related lyases	yaeR
EZ55_42_105	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_47_8	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	NA	diguanylate cyclase	-
EZ55_78_2	NA	down	NA	NA	NA	down	NA	NA	NA	up	up	NA	NA	up	NA	up	NA	"(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity"	-
EZ55_14_107	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"ABC transporter, ATP-binding protein"	-
EZ55_2_16	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	up	up	down	down	up	GGDEF EAL domain-containing protein	-
EZ55_40_20	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"COG0226 ABC-type phosphate transport system, periplasmic component"	pstS
EZ55_70_102	NA	down	NA	down	down	down	NA	down	down	NA	up	up	up	up	down	down	NA	Tfp pilus assembly protein tip-associated adhesin	pilY1
EZ55_65_87	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Putative quorum-sensing-regulated virulence factor	ypeB
EZ55_6_27	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG2755 Lysophospholipase L1 and related esterases	-
EZ55_21_69	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG2610 H gluconate symporter and related permeases	gntU
EZ55_41_10	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	COG0642 Signal transduction histidine kinase	barA
EZ55_43_191	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	subunit of a heme lyase	ccmH
EZ55_70_152	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	sdh
EZ55_49_11	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	ABC transporter	-
EZ55_30_27	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
EZ55_28_62	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Urate oxidase N-terminal	-
EZ55_13_90	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	NA	NA
EZ55_35_18	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Bacterial regulatory helix-turn-helix protein, lysR family"	-
EZ55_70_101	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	Pilus assembly protein PilX	pilX
EZ55_31_48	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein	dsbB
EZ55_2_30	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	NA	NA
EZ55_43_230	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	down	up	down	down	down	Protein of unknown function (DUF3718)	-
EZ55_20_6	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"COG2826 Transposase and inactivated derivatives, IS30 family"	insI
EZ55_43_215	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Type II secretion system protein B	gspB
EZ55_35_41	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	"COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component"	-
EZ55_9_11	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_28_126	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Bacterial transferase hexapeptide (six repeats)	-
EZ55_4_85	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	MFS/sugar transport protein	-
EZ55_3_40	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Putative carbohydrate binding domain	chb
EZ55_60_252	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	up	NA	NA
EZ55_60_171	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Peptidase dimerisation domain	-
EZ55_26_7	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	NA	NA
EZ55_19_43	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Sequence-specific endonuclease that cleaves unmethylated GATC sequences. It is involved in DNA mismatch repair	mutH
EZ55_29_27	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester"	ligT
EZ55_31_131	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	Preprotein translocase subunit SecA	-
EZ55_14_30	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis	ubiB
EZ55_42_39	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	NA	NA
EZ55_43_80	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Peptidase M15	-
EZ55_39_55	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	NA	"Protein of unknown function, DUF547"	-
EZ55_4_128	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	up	up	down	down	up	NA	NA
EZ55_60_48	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic"	ftsL
EZ55_43_178	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Glycosyl transferase family 2	rfbF
EZ55_21_32	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG0668 Small-conductance mechanosensitive channel	-
EZ55_4_224	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Belongs to the GARS family	purD
EZ55_60_190	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"Carbohydrate-selective porin, OprB family"	rpfN
EZ55_40_13	NA	down	NA	NA	down	down	NA	NA	down	NA	up	down	down	up	NA	down	down	Biopolymer transport protein	-
EZ55_43_257	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	down	up	down	down	NA	Peptidase_C39 like family	-
EZ55_14_94	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate	glmM
EZ55_39_140	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives"	folP
EZ55_14_106	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Transcriptional regulator	nhaR
EZ55_43_90	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	flagellar export protein FliJ	fliJ
EZ55_2_69	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Outer membrane protein W	ompW
EZ55_18_88	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex"	mutL
EZ55_70_1	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Acetyltransferase (GNAT) domain	-
EZ55_1_17	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	AraC-type transcriptional regulator N-terminus	-
EZ55_1_54	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	COG1960 Acyl-CoA dehydrogenases	aidB
EZ55_31_61	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
EZ55_19_81	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
EZ55_18_198	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"Oxidoreductase family, C-terminal alpha/beta domain"	ydgJ
EZ55_6_18	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	moeB
EZ55_35_36	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	NA	Glucuronate isomerase	uxaC
EZ55_32_46	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Protein of unknown function (DUF2989)	VC1997
EZ55_31_72	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	YfcL protein	-
EZ55_14_19	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	"COG1629 Outer membrane receptor proteins, mostly Fe transport"	-
EZ55_39_10	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Haloacid dehalogenase-like hydrolase	-
EZ55_41_3	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Adenylyl- / guanylyl cyclase, catalytic domain"	-
EZ55_12_36	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	protein conserved in bacteria	-
EZ55_70_88	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	transcriptional regulator	-
EZ55_24_8	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	histidine utilization repressor	hutC
EZ55_59_16	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities	-
EZ55_5_7	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	receptor	fecA
EZ55_60_125	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"Bifunctional enzyme which can phosphorylate or dephosphorylate isocitrate dehydrogenase (IDH) on a specific serine residue. This is a regulatory mechanism which enables bacteria to bypass the Krebs cycle via the glyoxylate shunt in response to the source of carbon. When bacteria are grown on glucose, IDH is fully active and unphosphorylated, but when grown on acetate or ethanol, the activity of IDH declines drastically concomitant with its phosphorylation"	aceK
EZ55_65_23	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	Prokaryotic cytochrome b561	cybP
EZ55_42_118	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"COG1629 Outer membrane receptor proteins, mostly Fe transport"	-
EZ55_42_21	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_60_82	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"COG1902 NADH flavin oxidoreductases, Old Yellow Enzyme family"	fadH
EZ55_49_7	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	up	Transcriptional regulator	dgdR
EZ55_30_19	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	up	NA	NA
EZ55_32_27	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	COG0642 Signal transduction histidine kinase	-
EZ55_30_61	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	Belongs to the pirin family	XCC2717
EZ55_21_2	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	NA	NA
EZ55_65_99	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway	bioC
EZ55_2_122	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	MreB/Mbl protein	yegD
EZ55_4_209	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	"COG2804 Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB"	gspE
EZ55_1_16	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Dienelactone hydrolase family	-
EZ55_20_57	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Belongs to the DNA photolyase family	-
EZ55_14_16	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
EZ55_30_47	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	ligA
EZ55_39_144	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	up	up	down	down	NA	GGDEF domain	-
EZ55_45_3	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Protein of unknown function (DUF3025)	-
EZ55_43_103	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
EZ55_4_143	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Methyltransferase domain	-
EZ55_32_1	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_19_14	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	divalent heavy-metal cations transporter	-
EZ55_41_29	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"COG4796 Type II secretory pathway, component HofQ"	pilQ
EZ55_28_123	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	up	Protein conserved in bacteria	-
EZ55_34_19	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	protein conserved in bacteria	yjaG
EZ55_58_10	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	up	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-
EZ55_30_28	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	NA	NA
EZ55_42_89	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Type IV pili methyl-accepting chemotaxis transducer N-term	-
EZ55_65_73	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component"	ybbP
EZ55_31_91	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	PFAM Kelch	-
EZ55_49_24	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NYN domain	-
EZ55_49_53	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	NA	NA
EZ55_19_30	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)	ispD
EZ55_60_157	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	NA	NA
EZ55_60_41	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)	murG
EZ55_14_35	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	"COG1294 Cytochrome bd-type quinol oxidase, subunit 2"	cydB
EZ55_28_18	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	hydrolase of the alpha beta-hydrolase fold	-
EZ55_60_292	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Domain of unknown function (DUF1904)	-
EZ55_13_87	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	His Kinase A (phosphoacceptor) domain	-
EZ55_39_5	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	up	COG1960 Acyl-CoA dehydrogenases	-
EZ55_19_67	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	COG1226 Kef-type K transport systems	-
EZ55_30_85	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Alpha amylase, catalytic domain"	cgt
EZ55_6_6	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Rho termination factor, N-terminal domain"	-
EZ55_52_53	NA	down	NA	NA	down	down	NA	NA	down	NA	up	NA	NA	up	NA	down	NA	COG1643 HrpA-like helicases	hrpA
EZ55_39_49	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	NA	NA
EZ55_58_43	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Protein of unknown function DUF72	yecE
EZ55_75_17	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	NA	NA
NATL1A_1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_15_85	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	CheW protein	cheW
EZ55_2_23	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate"	ubiA
EZ55_35_47	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Domain of unknown function (DUF1989)	ycgI
EZ55_42_63	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG0463 Glycosyltransferases involved in cell wall biogenesis	-
EZ55_60_294	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_6_3	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	up	up	down	down	up	"COG1629 Outer membrane receptor proteins, mostly Fe transport"	-
EZ55_18_22	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	up	PKHD-type hydroxylase	ybiX
EZ55_1_4	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_18_68	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	ROK family	-
EZ55_70_99	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	type IV pilus modification protein PilV	pilV
EZ55_39_86	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	Sulfotransferase family	-
EZ55_25_10	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	up	Part of a membrane complex involved in electron transport	rnfD
EZ55_18_160	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Protein of unknown function (DUF3299)	-
EZ55_43_1	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_43_14	NA	down	NA	down	down	down	NA	down	down	NA	up	NA	NA	up	down	down	NA	"Catalyzes the formation of N(4)-acetylcytidine (ac(4)C) at the wobble position of tRNA(Met), by using acetyl-CoA as an acetyl donor and ATP (or GTP)"	tmcA
